trade_date,open,high,low,close,prev_close,change,pct_change,daily_return
2025-09-12,10.36,10.36,9.85,10.12,10.36,-0.24,-2.32,
2025-09-15,10.1225,10.6825,9.9025,10.4,10.1225,0.28,2.74,0.027667984189723382
2025-09-16,10.3975,10.5,9.755,10.27,10.3975,-0.13,-1.23,-0.012500000000000067
2025-09-17,10.2725,10.3575,9.615,10.25,10.2725,-0.02,-0.22,-0.0019474196689386325
2025-09-18,10.2475,10.2475,9.4925,9.89,10.2475,-0.36,-3.49,-0.035121951219512115
2025-09-19,9.885,10.255,9.3975,9.97,9.885,0.09,0.86,0.008088978766430666
2025-09-22,9.9675,10.7325,9.9675,10.56,9.9675,0.59,5.94,0.05917753259779346
2025-09-23,10.5575,10.9025,9.9625,10.63,10.5575,0.07,0.69,0.006628787878787845
2025-09-24,10.625,10.8925,10.1125,10.52,10.625,-0.11,-0.99,-0.010348071495766775
2025-09-25,10.5225,10.8975,10.285,10.78,10.5225,0.26,2.45,0.024714828897338448
2025-09-26,10.7825,11.6775,10.17,11.43,10.7825,0.65,6.01,0.06029684601113172
2025-09-29,11.425,11.725,10.615,11.37,11.425,-0.06,-0.48,-0.005249343832021025
2025-09-30,11.365,11.7875,10.93,11.07,11.365,-0.3,-2.6,-0.02638522427440626
2025-10-01,11.065,11.255,10.1525,10.29,11.065,-0.78,-7.0,-0.07046070460704612
2025-10-03,10.2875,10.6225,9.945,10.06,10.2875,-0.23,-2.21,-0.02235179786200181
2025-10-06,10.06,10.5375,9.6575,10.19,10.06,0.13,1.29,0.012922465208747402
2025-10-07,10.1925,10.45,10.0,10.05,10.1925,-0.14,-1.4,-0.013738959764474812
2025-10-08,10.05,10.5225,9.6875,10.31,10.05,0.26,2.59,0.025870646766169125
2025-10-09,10.3125,10.565,9.9975,10.12,10.3125,-0.19,-1.87,-0.018428709990300773
2025-10-10,10.12,10.3425,9.71,10.1,10.12,-0.02,-0.2,-0.0019762845849802257
2025-10-13,10.1025,11.2575,9.7775,11.01,10.1025,0.91,8.98,0.09009900990099018
2025-10-14,11.0075,11.6675,10.0125,11.16,11.0075,0.15,1.39,0.013623978201634968
2025-10-15,11.155,11.155,10.4325,10.53,11.155,-0.63,-5.6,-0.05645161290322587
2025-10-16,10.53,11.0575,10.3825,10.87,10.53,0.34,3.23,0.03228869895536568
2025-10-17,10.865,11.81,9.775,11.63,10.865,0.77,7.04,0.06991720331186757
2025-10-20,11.625,11.8775,10.6675,11.36,11.625,-0.27,-2.28,-0.023215821152192673
2025-10-21,11.355,11.595,10.7,11.3,11.355,-0.06,-0.48,-0.005281690140845008
2025-10-23,11.2975,12.05,10.7375,11.73,11.2975,0.43,3.83,0.038053097345132736
2025-10-24,11.7325,11.94,11.4375,11.59,11.7325,-0.14,-1.21,-0.011935208866155178
2025-10-27,11.59,12.7275,11.2775,11.86,11.59,0.27,2.33,0.023295944779982758
2025-10-28,11.8575,12.635,10.705,11.95,11.8575,0.09,0.78,0.007588532883642474
2025-10-29,11.9525,12.1025,11.2275,11.97,11.9525,0.02,0.15,0.0016736401673640433
2025-10-30,11.9725,12.2725,11.705,12.07,11.9725,0.1,0.81,0.008354218880534559
2025-10-31,12.0675,12.2875,11.77,12.15,12.0675,0.08,0.68,0.006628003314001596
2025-11-03,12.1525,12.94,11.7875,12.67,12.1525,0.52,4.26,0.04279835390946496
2025-11-04,12.665,12.935,10.98,12.65,12.665,-0.02,-0.12,-0.0015785319652722452
2025-11-06,12.6525,12.865,12.0575,12.41,12.6525,-0.24,-1.92,-0.018972332015810278
2025-11-07,12.41,12.6675,11.9575,12.56,12.41,0.15,1.21,0.01208702659145855
2025-11-10,12.5575,12.9275,11.405,12.3,12.5575,-0.26,-2.05,-0.0207006369426751
2025-11-11,12.3,13.005,11.9925,12.49,12.3,0.19,1.54,0.015447154471544655
2025-11-12,12.49,12.7125,11.4425,12.11,12.49,-0.38,-3.04,-0.0304243394715773
2025-11-13,12.11,12.2725,11.23,12.16,12.11,0.05,0.41,0.004128819157720898
2025-11-14,12.1625,12.445,11.8025,11.94,12.1625,-0.22,-1.83,-0.018092105263157965
2025-11-17,11.9375,12.28,10.895,11.79,11.9375,-0.15,-1.24,-0.012562814070351758
2025-11-18,11.7875,12.29,10.94,12.1,11.7875,0.31,2.65,0.026293469041560602
2025-11-19,12.095,12.375,10.765,11.97,12.095,-0.13,-1.03,-0.01074380165289246
