trade_date,RELIANCE,HDFCBANK,ICICIBANK,SBIN,TCS,INFY,ITC,LT,TITAN,BAJFINANCE,RELIANCE_value,HDFCBANK_value,ICICIBANK_value,SBIN_value,TCS_value,INFY_value,ITC_value,LT_value,TITAN_value,BAJFINANCE_value,invested_position_value,cash_balance,portfolio_value,daily_return,cumulative_return
2025-09-12,1395.0,967.3,1417.7,823.55,3133.4,1525.6,413.75,3579.8,3571.9,1003.25,149265.0,149931.5,99239.0,49413.0,147269.80000000002,99164.0,49650.0,96654.6,46434.700000000004,99321.75,986343.35,13656.649999999972,1000000.0,,0.0
2025-09-15,1399.3,967.05,1419.4,824.75,3111.9,1508.4,412.65,3586.2,3534.1,1009.85,149725.1,149892.75,99358.0,49485.0,146259.30000000002,98046.0,49518.0,96827.4,45943.299999999996,99975.15000000001,985030.0000000001,13656.649999999972,998686.6500000001,-0.0013133499999998799,-0.0013133499999998799
2025-09-16,1405.3,966.85,1421.6,831.55,3145.7,1511.3,413.1,3667.8,3556.8,1003.25,150367.1,149861.75,99512.0,49893.0,147847.9,98234.5,49572.0,99030.6,46238.4,99321.75,989879.0,13656.649999999972,1003535.65,0.0048553768091321725,0.0035356500000001123
2025-09-17,1413.8,966.5,1419.2,857.15,3172.8,1522.4,409.3,3685.5,3523.0,1007.5,151276.6,149807.5,99344.0,51429.0,149121.6,98956.0,49116.0,99508.5,45799.0,99742.5,994100.7,13656.649999999972,1007757.35,0.00420682613517509,0.007757349999999885
2025-09-18,1415.0,976.9,1421.7,854.35,3176.7,1540.6,411.55,3686.0,3511.3,996.5,151405.0,151419.5,99519.0,51261.0,149304.9,100139.0,49386.0,99522.0,45646.9,98653.5,996256.8,13656.649999999972,1009913.4500000001,0.002139503125430098,0.00991344999999999
2025-09-19,1407.4,966.9,1402.2,862.35,3169.2,1540.2,410.65,3675.4,3467.2,992.45,150591.80000000002,149869.5,98154.0,51741.0,148952.4,100113.0,49278.0,99235.8,45073.6,98252.55,991261.6500000001,13656.649999999972,1004918.3000000002,-0.004946116917246668,0.004918300000000153
2025-09-22,1390.6,964.2,1401.5,855.25,3073.8,1499.5,406.95,3644.5,3457.5,1006.5,148794.19999999998,149451.0,98105.0,51315.0,144468.6,97467.5,48834.0,98401.5,44947.5,99643.5,981427.7999999999,13656.649999999972,995084.45,-0.00978572088895202,-0.004915550000000102
2025-09-23,1389.8,957.2,1394.3,870.6,3062.4,1497.5,403.2,3657.6,3439.2,1025.5,148708.6,148366.0,97601.0,52236.0,143932.80000000002,97337.5,48384.0,98755.2,44709.6,101524.5,981555.2,13656.649999999972,995211.85,0.00012802933459576948,-0.004788149999999991
2025-09-24,1383.0,951.05,1382.7,866.2,3035.4,1494.6,401.0,3673.8,3418.3,1029.75,147981.0,147412.75,96789.0,51972.0,142663.80000000002,97149.0,48120.0,99192.6,44437.9,101945.25,977663.3,13656.649999999972,991319.9500000001,-0.00391062465745351,-0.00868004999999994
2025-09-25,1372.4,949.85,1375.8,861.15,2957.4,1484.8,400.1,3644.4,3378.5,1012.75,146846.80000000002,147226.75,96306.0,51669.0,138997.80000000002,96512.0,48012.0,98398.8,43920.5,100262.25,968151.9000000001,13656.649999999972,981808.5500000002,-0.009594682322291548,-0.018191449999999887
2025-09-26,1377.6,945.05,1359.6,856.95,2899.1,1448.9,405.1,3729.5,3327.3,985.1,147403.19999999998,146482.75,95172.0,51417.0,136257.69999999998,94178.5,48612.0,100696.5,43254.9,97524.90000000001,960999.45,13656.649999999972,974656.1,-0.007284974244724407,-0.025343899999999975
2025-09-29,1372.8,950.3,1348.1,870.75,2896.1,1441.8,407.25,3688.4,3401.2,990.95,146889.6,147296.5,94367.0,52245.0,136116.69999999998,93717.0,48870.0,99586.8,44215.6,98104.05,961408.25,13656.649999999972,975064.9,0.0004194299917683608,-0.024935099999999988
2025-09-30,1364.0,951.0,1348.0,872.45,2888.4,1441.8,401.55,3659.0,3367.0,998.9,145948.0,147405.0,94360.0,52347.0,135754.80000000002,93717.0,48186.0,98793.0,43771.0,98891.09999999999,959172.9,13656.649999999972,972829.55,-0.0022925140675251754,-0.027170449999999957
2025-10-01,1368.7,965.25,1372.0,864.1,2914.2,1445.8,405.6,3670.3,3408.3,987.7,146450.9,149613.75,96040.0,51846.0,136967.4,93977.0,48672.0,99098.1,44307.9,97782.3,964755.3500000001,13656.649999999972,978412.0000000001,0.0057383639302486245,-0.02158799999999983
2025-10-03,1363.4,965.15,1365.2,867.3,2901.9,1446.6,404.3,3733.1,3453.3,989.75,145883.80000000002,149598.25,95564.0,52038.0,136389.30000000002,94029.0,48516.0,100793.7,44892.9,97985.25,965690.2000000001,13656.649999999972,979346.8500000001,0.0009554768338899677,-0.020653149999999898
2025-10-06,1375.0,973.45,1363.4,874.05,2988.4,1476.0,400.75,3737.0,3425.4,1008.9,147125.0,150884.75,95438.0,52443.0,140454.80000000002,95940.0,48090.0,100899.0,44530.200000000004,99881.09999999999,975685.85,13656.649999999972,989342.5,0.010206445244603568,-0.010657499999999986
2025-10-07,1384.8,982.5,1375.9,864.7,2973.7,1458.5,399.8,3729.7,3418.2,1016.55,148173.6,152287.5,96313.0,51882.0,139763.9,94802.5,47976.0,100701.9,44436.6,100638.45,976975.45,13656.649999999972,990632.1,0.0013034919656236266,-0.009367899999999985
