holding_id,company_id,symbol,portfolio_weight,allocated_capital,purchase_price,quantity,invested_amount,unused_cash,purchase_date
1,1,RELIANCE,0.15,150000.0,1395.0,107,149265.0,735.0,2025-09-12
2,2,HDFCBANK,0.15,150000.0,967.3,155,149931.5,68.5,2025-09-12
3,3,ICICIBANK,0.1,100000.0,1417.7,70,99239.0,761.0,2025-09-12
4,4,SBIN,0.05,50000.0,823.55,60,49413.0,587.0,2025-09-12
5,5,TCS,0.15,150000.0,3133.4,47,147269.80000000002,2730.1999999999825,2025-09-12
6,6,INFY,0.1,100000.0,1525.6,65,99164.0,836.0,2025-09-12
7,7,ITC,0.05,50000.0,413.75,120,49650.0,350.0,2025-09-12
8,8,LT,0.1,100000.0,3579.8,27,96654.6,3345.399999999994,2025-09-12
9,9,TITAN,0.05,50000.0,3571.9,13,46434.700000000004,3565.2999999999956,2025-09-12
10,10,BAJFINANCE,0.1,100000.0,1003.25,99,99321.75,678.25,2025-09-12
