symbol,initial_price,ending_price,stock_return,initial_position_value,ending_position_value
TITAN,3571.9,5009.5,0.40247487331672205,46434.7,65123.5
SBIN,823.55,995.7,0.20903405986278933,49413.0,59742.0
LT,3579.8,3930.7,0.0980222358790992,96654.6,106128.9
BAJFINANCE,1003.25,1034.5,0.03114876650884635,99321.75,102415.5
ICICIBANK,1417.7,1379.3,-0.027086125414403694,99239.0,96551.0
RELIANCE,1395.0,1257.5,-0.09856630824372759,149265.0,134552.5
HDFCBANK,967.3,708.25,-0.26780729866639097,149931.5,109778.75
TCS,3133.4,2200.8,-0.2976319652773345,147269.80000000002,103437.6
INFY,1525.6,1037.7,-0.3198085998951231,99164.0,67450.5
ITC,413.75,259.85,-0.3719637462235649,49650.0,31182.000000000004
