symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return
BAJFINANCE,EQ,2021-09-13,7430.65,7430.65,7495.0,7352.0,7451.95,7445.55,7419.32,802565,5954485894.8,86733,300657,37.46,
BAJFINANCE,EQ,2021-09-14,7445.55,7480.0,7530.0,7408.0,7415.0,7417.55,7450.12,719258,5358557212.9,73995,300256,41.75,-0.003760635547407465
BAJFINANCE,EQ,2021-09-15,7417.55,7445.0,7480.0,7380.0,7409.0,7414.15,7410.84,657283,4871021284.35,83065,346189,52.67,-0.000458372373627447
BAJFINANCE,EQ,2021-09-16,7414.15,7445.0,7445.0,7330.5,7415.0,7411.5,7381.98,577129,4260353297.4,63734,177821,30.81,-0.00035742465420840475
BAJFINANCE,EQ,2021-09-17,7411.5,7445.5,7679.95,7360.0,7442.0,7428.8,7538.26,3474969,26195213323.75,203446,1275198,36.7,0.0023342103487822286
BAJFINANCE,EQ,2021-09-20,7428.8,7360.0,7581.0,7320.75,7428.0,7442.45,7468.86,1083806,8094799659.45,97599,203797,18.8,0.0018374434632779657
BAJFINANCE,EQ,2021-09-21,7442.45,7481.15,7847.1,7401.0,7820.0,7813.85,7633.73,1993133,15215030411.4,155330,545472,27.37,0.04990292175291744
BAJFINANCE,EQ,2021-09-22,7813.85,7850.0,7895.0,7771.0,7780.15,7793.65,7830.06,1500541,11749328805.0,114708,573337,38.21,-0.0025851532855123427
BAJFINANCE,EQ,2021-09-23,7793.65,7863.6,7999.0,7804.65,7890.05,7899.05,7914.73,2109147,16693322738.2,160052,731590,34.69,0.013523830297742512
BAJFINANCE,EQ,2021-09-24,7899.05,7949.85,7949.85,7725.65,7786.45,7793.4,7816.87,1129346,8827954332.8,159552,484984,42.94,-0.013375026110734933
BAJFINANCE,EQ,2021-09-27,7793.4,7849.0,7860.0,7740.05,7794.0,7795.45,7797.32,650774,5074294615.1,78772,246962,37.95,0.00026304308774083296
BAJFINANCE,EQ,2021-09-28,7795.45,7815.0,7825.0,7425.05,7536.0,7543.3,7581.48,1572301,11920365943.05,144602,760945,48.4,-0.032345791455271944
BAJFINANCE,EQ,2021-09-29,7543.3,7529.0,7635.85,7456.15,7510.0,7515.4,7532.75,945879,7125067448.2,109016,331880,35.09,-0.00369864648098317
BAJFINANCE,EQ,2021-09-30,7515.4,7545.0,7700.0,7490.9,7674.0,7668.1,7622.74,1490707,11363275896.55,140935,602246,40.4,0.020318279798813288
BAJFINANCE,EQ,2021-10-01,7668.1,7620.0,7639.2,7475.0,7525.0,7522.75,7531.72,937740,7062792917.45,91377,336076,35.84,-0.018955151862912634
BAJFINANCE,EQ,2021-10-04,7522.75,7588.0,7769.0,7560.15,7693.15,7695.05,7689.69,1090198,8383282826.9,88726,332421,30.49,0.022903858296500657
