symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return
HDFCBANK,EQ,2021-09-13,1568.6,1562.0,1584.0,1553.65,1555.75,1555.55,1560.43,4479582,6990094956.85,162851,3354836,74.89,
HDFCBANK,EQ,2021-09-14,1555.55,1560.0,1564.5,1546.6,1550.0,1548.55,1552.26,4879253,7573882023.65,152737,3748148,76.82,-0.004500016071485979
HDFCBANK,EQ,2021-09-15,1548.55,1535.0,1554.8,1535.0,1546.75,1546.8,1543.76,7411499,11441551323.5,196864,5419693,73.13,-0.0011300894385070093
HDFCBANK,EQ,2021-09-16,1546.8,1537.75,1564.3,1536.3,1561.0,1559.95,1551.38,5130275,7958996358.25,158542,2478795,48.32,0.008501422291181893
HDFCBANK,EQ,2021-09-17,1559.95,1569.0,1589.0,1559.2,1585.55,1582.15,1576.23,10249051,16154811176.7,203624,6160971,60.11,0.014231225359787159
HDFCBANK,EQ,2021-09-20,1582.15,1564.0,1581.7,1558.0,1559.75,1559.85,1569.06,4390805,6889437483.3,144006,2618610,59.64,-0.014094744493252986
HDFCBANK,EQ,2021-09-21,1559.85,1562.0,1568.65,1528.95,1553.5,1551.95,1544.53,7387498,11410202963.4,162406,4642760,62.85,-0.005064589543866349
HDFCBANK,EQ,2021-09-22,1551.95,1549.0,1550.15,1530.0,1536.05,1533.7,1536.98,5291101,8132332795.9,204046,3043041,57.51,-0.011759399465189002
HDFCBANK,EQ,2021-09-23,1533.7,1542.0,1572.0,1542.0,1571.6,1570.0,1561.26,6832152,10666787042.0,221318,4366722,63.91,0.023668253243789517
HDFCBANK,EQ,2021-09-24,1570.0,1579.0,1607.95,1575.0,1599.5,1601.55,1593.03,10403351,16572894842.45,285125,6212213,59.71,0.020095541401273787
HDFCBANK,EQ,2021-09-27,1601.55,1615.7,1635.5,1608.0,1625.0,1625.1,1626.52,8207731,13350052031.55,245375,5061617,61.67,0.014704505010770808
HDFCBANK,EQ,2021-09-28,1625.1,1632.0,1632.0,1582.0,1606.8,1615.05,1605.07,6386895,10251417507.15,193041,3472588,54.37,-0.006184234816319023
HDFCBANK,EQ,2021-09-29,1615.05,1597.0,1606.6,1585.15,1594.85,1593.85,1595.02,8131518,12969942389.35,180383,5400885,66.42,-0.013126528590446163
HDFCBANK,EQ,2021-09-30,1593.85,1586.0,1606.35,1583.1,1592.85,1594.95,1594.87,7987674,12739278381.65,216914,4213557,52.75,0.0006901527747278369
HDFCBANK,EQ,2021-10-01,1594.95,1583.0,1589.0,1565.25,1585.65,1582.7,1577.48,5564298,8777582941.65,145318,3862291,69.41,-0.007680491551459334
HDFCBANK,EQ,2021-10-04,1582.7,1589.0,1601.35,1583.6,1588.0,1585.75,1591.34,3525514,5610300755.65,141789,2240254,63.54,0.0019270866241232198
HDFCBANK,EQ,2021-10-05,1585.75,1592.0,1597.5,1576.25,1593.8,1595.45,1589.01,5128589,8149378134.45,154894,3346622,65.25,0.006116979347311924
HDFCBANK,EQ,2021-10-06,1595.45,1596.0,1626.85,1587.0,1613.0,1614.9,1614.91,9300415,15019364575.35,198719,6227027,66.95,0.012190917922843214
HDFCBANK,EQ,2021-10-07,1614.9,1626.6,1627.7,1607.0,1610.4,1610.5,1617.47,5632862,9110970657.3,179258,3460296,61.43,-0.0027246269118831323
HDFCBANK,EQ,2021-10-08,1610.5,1612.0,1622.0,1600.15,1607.0,1602.65,1612.01,3622781,5839965046.25,180918,2298470,63.44,-0.004874262651350492
HDFCBANK,EQ,2021-10-11,1602.65,1599.9,1645.0,1599.0,1633.1,1633.8,1631.24,6540424,10669009659.45,199109,4288726,65.57,0.01943655820048029
HDFCBANK,EQ,2021-10-12,1633.8,1625.0,1641.55,1625.0,1630.0,1629.6,1632.78,4088473,6675577153.9,127205,2149685,52.58,-0.0025706940874036244
HDFCBANK,EQ,2021-10-13,1629.6,1637.0,1648.0,1630.0,1637.0,1639.4,1638.14,3112822,5099233631.5,121391,1798733,57.78,0.006013745704467555
HDFCBANK,EQ,2021-10-14,1639.4,1638.0,1690.0,1638.0,1687.0,1687.4,1668.19,7378644,12308970465.55,218094,3835435,51.98,0.029279004513846463
HDFCBANK,EQ,2021-10-18,1687.4,1705.0,1725.0,1667.05,1674.5,1670.3,1690.0,14428228,24383700241.85,413049,8220482,56.97,-0.010133933862747524
HDFCBANK,EQ,2021-10-19,1670.3,1675.45,1692.45,1671.0,1687.6,1688.7,1685.37,4493770,7573646982.9,146669,2218411,49.37,0.011015985152367902
HDFCBANK,EQ,2021-10-20,1688.7,1689.1,1698.75,1664.45,1675.6,1673.85,1676.16,5454284,9142241514.6,187374,3521937,64.57,-0.00879374666903543
HDFCBANK,EQ,2021-10-21,1673.85,1671.8,1681.95,1660.85,1680.0,1676.3,1672.14,4869095,8141831326.95,181241,2926337,60.1,0.0014636914896795084
HDFCBANK,EQ,2021-10-22,1676.3,1680.1,1708.0,1670.75,1683.0,1680.75,1692.82,6087777,10305520528.65,173531,3171466,52.1,0.002654656087812457
HDFCBANK,EQ,2021-10-25,1680.75,1690.0,1690.0,1613.8,1657.3,1657.0,1654.95,8213383,13592747672.7,230480,4006629,48.78,-0.014130596459913769
HDFCBANK,EQ,2021-10-26,1657.0,1650.0,1673.85,1646.35,1655.45,1652.75,1656.8,6045328,10015873516.45,167665,4294683,71.04,-0.0025648762824381777
HDFCBANK,EQ,2021-10-27,1652.75,1652.75,1665.05,1637.3,1642.7,1642.8,1649.62,6624821,10928433828.3,159662,4849303,73.2,-0.006020269248222632
HDFCBANK,EQ,2021-10-28,1642.8,1650.0,1650.0,1587.15,1592.4,1593.6,1617.53,8898875,14394211074.4,197678,5321326,59.8,-0.02994886778670569
HDFCBANK,EQ,2021-10-29,1593.6,1590.0,1602.0,1560.0,1587.9,1582.85,1584.16,6203437,9827217126.8,187391,3509518,56.57,-0.006745732931726867
HDFCBANK,EQ,2021-11-01,1582.85,1585.0,1611.0,1583.55,1609.0,1605.3,1594.91,4061160,6477168351.5,154509,2186450,53.84,0.014183277000347605
HDFCBANK,EQ,2021-11-02,1605.3,1606.0,1622.0,1600.05,1605.0,1606.75,1610.07,6618861,10656813765.4,190992,4327632,65.38,0.0009032579580141586
HDFCBANK,EQ,2021-11-03,1606.75,1605.1,1609.9,1575.55,1582.0,1581.45,1596.24,5103669,8146688582.9,171297,3013031,59.04,-0.015746071261864003
HDFCBANK,EQ,2021-11-04,1581.45,1595.0,1597.85,1590.1,1595.2,1593.95,1594.17,548404,874247081.1,41400,327517,59.72,0.007904138606974698
HDFCBANK,EQ,2021-11-08,1593.95,1592.1,1604.7,1570.45,1600.0,1600.25,1586.02,9471790,15022453102.5,201396,7415309,78.29,0.003952445183349473
HDFCBANK,EQ,2021-11-09,1600.25,1594.6,1594.6,1569.05,1573.0,1572.25,1576.98,6347738,10010275270.5,240815,4613239,72.68,-0.017497266052179383
HDFCBANK,EQ,2021-11-10,1572.25,1568.0,1569.0,1550.0,1555.0,1555.25,1556.97,6857063,10676261141.35,233747,5316027,77.53,-0.010812529813960858
HDFCBANK,EQ,2021-11-11,1555.25,1550.05,1554.9,1535.6,1549.6,1548.3,1543.95,3999702,6175323288.3,157896,2359811,59.0,-0.004468734930075602
HDFCBANK,EQ,2021-11-12,1548.3,1550.0,1559.05,1545.05,1554.45,1553.0,1551.65,7457046,11570722042.8,170825,6028992,80.85,0.003035587418458885
HDFCBANK,EQ,2021-11-15,1553.0,1562.1,1571.85,1554.4,1555.0,1557.25,1561.48,4766797,7443240911.85,231105,3348551,70.25,0.00273663876368313
HDFCBANK,EQ,2021-11-16,1557.25,1555.0,1557.2,1541.6,1547.55,1548.0,1548.02,4122703,6382046601.15,139578,3120847,75.7,-0.005939958259752798
HDFCBANK,EQ,2021-11-17,1548.0,1536.9,1544.0,1528.5,1531.2,1530.8,1535.47,3799439,5833910234.85,145953,2426211,63.86,-0.011111111111111183
HDFCBANK,EQ,2021-11-18,1530.8,1526.05,1543.5,1525.25,1538.5,1539.4,1536.6,4576437,7032168198.55,181690,2775777,60.65,0.005617977528090012
