symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return
ICICIBANK,EQ,2021-09-13,720.25,717.9,717.9,705.2,707.5,707.4,708.93,6967906,4939747736.5,156480,3567117,51.19,
ICICIBANK,EQ,2021-09-14,707.4,713.25,714.0,706.5,707.95,707.45,709.65,5241865,3719874440.35,109788,2897308,55.27,7.068136839127881e-05
ICICIBANK,EQ,2021-09-15,707.45,707.1,716.0,706.3,713.0,714.35,710.85,5936741,4220157103.35,128714,3192052,53.77,0.009753339458618893
ICICIBANK,EQ,2021-09-16,714.35,720.0,729.4,712.85,726.9,727.2,722.79,13557169,9798997589.45,189602,6664432,49.16,0.017988381045705992
ICICIBANK,EQ,2021-09-17,727.2,732.9,734.4,714.0,722.35,720.15,724.14,17075003,12364737709.1,165525,10644923,62.34,-0.009694719471947333
ICICIBANK,EQ,2021-09-20,720.15,710.0,720.4,706.5,706.65,710.0,713.7,7943459,5669226550.9,160953,4501482,56.67,-0.014094285912657045
ICICIBANK,EQ,2021-09-21,710.0,711.15,714.5,694.4,713.95,711.85,704.45,10009615,7051240148.85,216828,5258825,52.54,0.0026056338028168646
ICICIBANK,EQ,2021-09-22,711.85,715.0,715.0,702.25,703.5,703.35,706.98,9740470,6886320738.05,209079,5715053,58.67,-0.011940717847861215
ICICIBANK,EQ,2021-09-23,703.35,711.0,720.0,707.15,717.0,717.0,715.87,10412491,7454013880.0,190580,5200674,49.95,0.019407123053956088
ICICIBANK,EQ,2021-09-24,717.0,722.6,724.6,716.55,722.0,722.95,721.01,11780868,8494169635.7,173981,7743735,65.73,0.008298465829846613
ICICIBANK,EQ,2021-09-27,722.95,724.5,731.75,722.3,730.0,730.0,727.97,7712240,5614304501.2,156197,4214717,54.65,0.009751711736634583
ICICIBANK,EQ,2021-09-28,730.0,734.1,735.4,706.6,715.9,717.15,718.17,13491839,9689377167.8,173925,8806092,65.27,-0.01760273972602744
ICICIBANK,EQ,2021-09-29,717.15,707.35,711.95,701.3,709.4,709.5,706.04,11453404,8086540022.05,219084,6662029,58.17,-0.010667224430035538
ICICIBANK,EQ,2021-09-30,709.5,709.6,713.9,698.8,701.9,700.85,704.11,18487517,13017169266.3,179908,7609329,41.16,-0.012191684284707516
ICICIBANK,EQ,2021-10-01,700.85,693.0,694.85,687.9,692.4,692.35,691.72,10935810,7564521450.8,225142,6651302,60.82,-0.012128130127702086
ICICIBANK,EQ,2021-10-04,692.35,697.05,703.35,694.05,700.2,700.2,699.33,8976533,6277518234.05,178167,5015925,55.88,0.011338195999133438
ICICIBANK,EQ,2021-10-05,700.2,693.0,699.0,691.85,697.95,697.1,695.51,7497208,5214417734.85,189189,4564359,60.88,-0.004427306483861804
ICICIBANK,EQ,2021-10-06,697.1,696.6,705.0,688.35,689.35,689.5,696.67,13200810,9196559604.55,170064,8588736,65.06,-0.010902309568211144
ICICIBANK,EQ,2021-10-07,689.5,697.55,704.95,693.45,701.05,702.2,699.44,10041549,7023436461.25,228947,5948632,59.24,0.01841914430746927
ICICIBANK,EQ,2021-10-08,702.2,706.0,710.0,698.3,704.05,703.4,703.57,9383924,6602255829.4,169255,5239311,55.83,0.0017089148390769804
ICICIBANK,EQ,2021-10-11,703.4,702.0,719.4,700.3,712.0,713.3,712.15,9337637,6649837044.35,199278,5309336,56.86,0.014074495308501467
ICICIBANK,EQ,2021-10-12,713.3,706.5,713.0,704.4,709.6,708.6,708.0,7376091,5222304007.45,137527,3717844,50.4,-0.006589092948268482
ICICIBANK,EQ,2021-10-13,708.6,713.85,715.9,707.95,708.9,709.95,712.42,6357766,4529394998.5,128473,3747784,58.95,0.0019051651143100479
ICICIBANK,EQ,2021-10-14,709.95,710.25,729.8,709.05,726.4,727.3,720.5,8950350,6448768887.0,176051,4203698,46.97,0.024438340728220265
ICICIBANK,EQ,2021-10-18,727.3,739.0,748.9,732.05,743.5,745.45,742.83,15345601,11399241962.0,257813,8490176,55.33,0.024955314175718613
ICICIBANK,EQ,2021-10-19,745.45,755.0,755.0,738.75,746.65,747.45,748.61,11349799,8496521802.3,155597,6646953,58.56,0.0026829431886779
ICICIBANK,EQ,2021-10-20,747.45,746.75,757.45,741.9,746.75,745.85,750.52,12762996,9578822545.0,180985,7059185,55.31,-0.0021406114121346187
ICICIBANK,EQ,2021-10-21,745.85,748.9,759.85,737.4,758.2,755.5,748.78,12166996,9110365742.55,185401,6282195,51.63,0.012938258362941601
ICICIBANK,EQ,2021-10-22,755.5,758.5,765.85,753.35,758.0,759.3,760.42,13248928,10074695190.4,181107,6007101,45.34,0.00502978160158829
ICICIBANK,EQ,2021-10-25,759.3,800.0,867.0,798.4,846.75,841.7,831.93,96124084,79968862078.85,891780,37060732,38.56,0.10852100618991178
ICICIBANK,EQ,2021-10-26,841.7,828.7,841.7,822.35,831.8,829.4,830.18,16925115,14050864477.2,383583,9004644,53.2,-0.014613282642271685
ICICIBANK,EQ,2021-10-27,829.4,828.75,849.0,824.2,832.9,835.0,839.93,22898400,19233076534.25,323390,12382215,54.07,0.006751868820834339
ICICIBANK,EQ,2021-10-28,835.0,830.1,831.95,796.25,801.8,798.7,811.09,18750423,15208262727.95,273726,10538030,56.2,-0.04347305389221556
ICICIBANK,EQ,2021-10-29,798.7,798.0,808.75,783.9,806.5,802.05,799.49,15701200,12552925365.0,270217,7200394,45.86,0.00419431576311502
ICICIBANK,EQ,2021-11-01,802.05,807.7,809.7,793.0,805.95,803.9,801.26,11406421,9139503038.6,256061,6351045,55.68,0.00230658936475292
ICICIBANK,EQ,2021-11-02,803.9,809.0,810.0,798.0,799.7,800.95,803.5,9452457,7595038624.4,183122,5566645,58.89,-0.00366961064809046
ICICIBANK,EQ,2021-11-03,800.95,806.0,806.0,780.45,784.5,785.95,792.45,11839149,9381939743.0,207366,6088839,51.43,-0.018727760784068903
ICICIBANK,EQ,2021-11-04,785.95,788.5,789.0,779.0,780.0,782.1,784.28,3149310,2469950508.05,103495,1714644,54.45,-0.004898530440867743
ICICIBANK,EQ,2021-11-08,782.1,793.0,793.0,773.15,781.95,780.15,780.38,13967995,10900279641.4,271573,8529301,61.06,-0.002493287303413916
ICICIBANK,EQ,2021-11-09,780.15,784.0,788.6,779.2,787.9,786.55,784.82,10084357,7914376897.25,182757,6631077,65.76,0.008203550599243714
ICICIBANK,EQ,2021-11-10,786.55,782.55,784.3,773.1,780.9,780.9,777.66,9507347,7393475364.05,173605,5428909,57.1,-0.007183268705104551
ICICIBANK,EQ,2021-11-11,780.9,776.7,777.0,766.1,771.25,771.45,771.69,9221059,7115804054.35,189648,5077147,55.06,-0.012101421436803594
ICICIBANK,EQ,2021-11-12,771.45,772.7,779.9,771.2,777.6,776.6,775.65,15380106,11929554753.2,149605,12092189,78.62,0.0066757404886901295
ICICIBANK,EQ,2021-11-15,776.6,777.0,784.55,771.55,772.95,773.3,777.22,10934583,8498572067.25,165917,6911628,63.21,-0.00424929178470268
ICICIBANK,EQ,2021-11-16,773.3,773.3,775.75,762.0,762.35,764.05,767.52,12785837,9813353301.5,221709,9279733,72.58,-0.011961722488038284
ICICIBANK,EQ,2021-11-17,764.05,760.9,771.95,756.3,759.95,761.3,764.78,11657214,8915156891.2,175725,7726267,66.28,-0.003599240887376509
ICICIBANK,EQ,2021-11-18,761.3,764.9,767.5,756.4,761.2,762.9,762.26,20644385,15736422334.9,261386,14256159,69.06,0.0021016681991330444
ICICIBANK,EQ,2021-11-22,762.9,768.3,770.45,740.25,756.35,752.0,755.06,20403786,15405990461.0,304519,13631128,66.81,-0.014287586839690669
ICICIBANK,EQ,2021-11-23,752.0,740.95,757.95,731.2,753.0,751.85,746.7,24913042,18602573811.95,333977,16590502,66.59,-0.00019946808510640235
