symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return
INFY,EQ,2021-09-13,1691.6,1683.0,1701.5,1675.2,1690.85,1691.9,1689.36,4662374,7876437378.3,187031,3223515,69.14,
INFY,EQ,2021-09-14,1691.9,1695.95,1695.95,1678.6,1686.5,1686.15,1688.38,4945167,8349299076.4,207112,3829313,77.44,-0.0033985460133577616
INFY,EQ,2021-09-15,1686.15,1693.25,1715.1,1690.2,1710.2,1711.45,1705.03,4062344,6926434283.0,187441,2528172,62.23,0.01500459626960815
INFY,EQ,2021-09-16,1711.45,1715.2,1719.25,1691.45,1702.05,1702.25,1701.12,3246568,5522817876.3,159668,2179368,67.13,-0.005375558736743669
INFY,EQ,2021-09-17,1702.25,1697.0,1718.0,1684.45,1692.0,1691.3,1696.56,7454864,12647632623.5,123572,4936266,66.22,-0.006432662652371857
INFY,EQ,2021-09-20,1691.3,1685.0,1707.7,1677.95,1687.4,1687.85,1695.88,5660743,9599964334.2,136341,3898202,68.86,-0.0020398510021877314
INFY,EQ,2021-09-21,1687.85,1700.0,1726.75,1684.65,1717.7,1718.45,1707.5,4672222,7977838674.6,138846,2854317,61.09,0.01812957312557395
INFY,EQ,2021-09-22,1718.45,1717.0,1738.9,1713.05,1715.65,1716.9,1727.0,4553892,7864586458.9,162450,2565643,56.34,-0.0009019756175623339
INFY,EQ,2021-09-23,1716.9,1732.0,1745.0,1721.1,1742.1,1742.55,1733.04,3826090,6630769717.8,151039,2542806,66.46,0.01493971693167917
INFY,EQ,2021-09-24,1742.55,1758.0,1788.0,1752.45,1763.8,1763.85,1772.2,8280446,14674577075.85,231499,4249574,51.32,0.012223465610742945
INFY,EQ,2021-09-27,1763.85,1768.75,1769.0,1718.1,1723.0,1721.15,1732.17,5045337,8739379305.2,227547,3353897,66.48,-0.024208407744422566
INFY,EQ,2021-09-28,1721.15,1710.0,1710.0,1675.0,1686.3,1687.1,1687.94,6557197,11068146871.1,321289,4432200,67.59,-0.019783284431920678
INFY,EQ,2021-09-29,1687.1,1659.25,1701.4,1655.0,1688.55,1692.25,1683.09,7792548,13115587857.25,252164,5097015,65.41,0.0030525754252861415
INFY,EQ,2021-09-30,1692.25,1703.0,1703.0,1670.1,1679.5,1675.2,1682.12,6914031,11630225539.25,155817,4013029,58.04,-0.010075343477618515
INFY,EQ,2021-10-01,1675.2,1665.1,1678.95,1661.25,1665.6,1665.15,1670.32,5733906,9577431061.45,166006,4139955,72.2,-0.005999283667621702
INFY,EQ,2021-10-04,1665.15,1672.5,1688.0,1665.4,1681.9,1678.75,1678.53,2947154,4946872978.25,122901,1900709,64.49,0.008167432363450633
INFY,EQ,2021-10-05,1678.75,1671.0,1702.95,1663.0,1691.7,1692.8,1677.62,4373310,7336751142.35,174119,2453697,56.11,0.008369322412509206
INFY,EQ,2021-10-06,1692.8,1702.1,1709.0,1670.0,1672.65,1673.55,1682.79,4271698,7188385186.55,168805,2859420,66.94,-0.011371691871455591
INFY,EQ,2021-10-07,1673.55,1687.0,1704.2,1676.65,1690.35,1691.0,1693.19,5476108,9272107761.25,142352,3855195,70.4,0.01042693675121753
INFY,EQ,2021-10-08,1691.0,1705.25,1731.5,1698.4,1723.85,1723.85,1719.42,4738376,8147261439.5,223183,2484109,52.43,0.019426374926079237
INFY,EQ,2021-10-11,1723.85,1682.0,1730.0,1663.7,1693.0,1690.95,1698.64,8840633,15017023820.95,264208,4763503,53.88,-0.01908518722626673
INFY,EQ,2021-10-12,1690.95,1677.0,1689.0,1662.0,1688.0,1685.15,1677.23,7439300,12477416052.15,258781,3823146,51.39,-0.0034300245424169207
INFY,EQ,2021-10-13,1685.15,1695.95,1713.65,1680.05,1705.0,1709.2,1697.94,7104171,12062453914.35,273495,4375894,61.6,0.014271726552532282
INFY,EQ,2021-10-14,1709.2,1754.0,1783.6,1698.2,1714.0,1715.75,1738.12,19655776,34164007327.25,428428,9689787,49.3,0.00383220219985958
INFY,EQ,2021-10-18,1715.75,1740.0,1799.0,1740.0,1798.0,1792.15,1770.72,13438109,23795103034.9,310783,9274584,69.02,0.04452863179367639
INFY,EQ,2021-10-19,1792.15,1814.0,1834.5,1782.3,1823.5,1822.15,1818.83,10324260,18778087117.05,236442,6341209,61.42,0.01673967022849654
INFY,EQ,2021-10-20,1822.15,1829.4,1848.0,1794.05,1797.4,1802.35,1819.25,5876115,10690134351.8,193075,3320472,56.51,-0.010866284334440146
INFY,EQ,2021-10-21,1802.35,1814.0,1814.0,1746.85,1757.0,1753.65,1768.17,8779629,15523851574.25,227646,5699645,64.92,-0.02702027908008975
INFY,EQ,2021-10-22,1753.65,1749.9,1763.2,1707.0,1717.85,1719.8,1728.28,7369809,12737099864.85,231471,4865170,66.01,-0.019302597439626035
INFY,EQ,2021-10-25,1719.8,1722.05,1729.75,1687.2,1708.4,1707.55,1700.04,5905209,10039080678.05,175289,4000395,67.74,-0.0071229212699150946
INFY,EQ,2021-10-26,1707.55,1710.05,1726.6,1695.9,1707.95,1703.7,1704.53,5871709,10008498840.25,163478,3860399,65.75,-0.0022546923955374387
