symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return
RELIANCE,EQ,2021-09-13,2425.6,2433.0,2433.0,2368.05,2369.8,2371.55,2381.94,7527598,17930286910.15,327407,4414702,58.65,
RELIANCE,EQ,2021-09-14,2371.55,2375.0,2394.0,2366.0,2370.5,2368.45,2377.55,4111205,9774584167.8,153291,2491875,60.61,-0.001307161982669669
RELIANCE,EQ,2021-09-15,2368.45,2368.5,2395.75,2368.5,2379.4,2378.3,2380.39,4186300,9965045382.75,168130,2310144,55.18,0.0041588380586461415
RELIANCE,EQ,2021-09-16,2378.3,2381.55,2436.75,2367.0,2424.0,2428.2,2408.55,6206657,14949050569.95,214010,2473588,39.85,0.020981373249800095
RELIANCE,EQ,2021-09-17,2428.2,2446.0,2455.85,2375.6,2387.0,2390.55,2410.13,16098099,38798580126.85,278098,9460717,58.77,-0.015505312577217545
RELIANCE,EQ,2021-09-20,2390.55,2372.1,2418.35,2370.0,2391.85,2394.35,2398.57,5436385,13039553487.25,171011,3042705,55.97,0.0015895923532240896
RELIANCE,EQ,2021-09-21,2394.35,2405.0,2416.6,2384.0,2400.0,2404.7,2401.93,4576111,10991510851.65,149803,2365643,51.7,0.004322676300457351
RELIANCE,EQ,2021-09-22,2404.7,2408.0,2442.0,2398.25,2430.8,2430.5,2426.47,5074612,12313409794.1,179090,2811116,55.4,0.010728989063084837
RELIANCE,EQ,2021-09-23,2430.5,2447.4,2497.0,2445.5,2488.1,2489.9,2475.75,7267883,17993432142.75,255176,3910090,53.8,0.024439415758074512
RELIANCE,EQ,2021-09-24,2489.9,2503.55,2505.45,2472.0,2479.0,2482.7,2488.36,7011181,17446321055.45,234214,4228344,60.31,-0.0028916823968835326
RELIANCE,EQ,2021-09-27,2482.7,2487.0,2529.9,2475.3,2527.0,2524.45,2510.93,7095022,17815116544.95,224209,4184695,58.98,0.016816369275385767
RELIANCE,EQ,2021-09-28,2524.45,2534.0,2564.9,2512.8,2545.0,2548.05,2539.99,8323269,21141019462.35,229286,4321030,51.92,0.009348570975856285
RELIANCE,EQ,2021-09-29,2548.05,2570.0,2570.0,2520.05,2530.0,2527.85,2536.91,4485721,11379866281.2,166259,2223603,49.57,-0.007927630933459051
RELIANCE,EQ,2021-09-30,2527.85,2525.0,2534.6,2500.35,2511.0,2519.25,2517.46,6272085,15789702474.85,173121,3408378,54.34,-0.0034021005993235542
RELIANCE,EQ,2021-10-01,2519.25,2501.95,2539.8,2495.0,2525.0,2523.7,2521.05,4134544,10423389476.2,144149,2032482,49.16,0.0017663987297806827
RELIANCE,EQ,2021-10-04,2523.7,2553.0,2574.85,2537.05,2558.0,2556.15,2556.97,5038910,12884346776.35,163519,2674027,53.07,0.0128581051630543
RELIANCE,EQ,2021-10-05,2556.15,2555.1,2612.0,2547.35,2610.25,2609.2,2582.03,6245770,16126767140.45,190163,3235964,51.81,0.020753868121980323
RELIANCE,EQ,2021-10-06,2609.2,2619.95,2619.95,2551.1,2554.0,2559.85,2585.47,4734472,12240833224.7,175209,2432010,51.37,-0.018913843323624113
RELIANCE,EQ,2021-10-07,2559.85,2595.0,2598.75,2567.7,2572.0,2572.4,2583.27,2924370,7554440823.0,122777,1479822,50.6,0.004902631013536052
