symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return
TCS,EQ,2021-09-13,3791.4,3767.0,3852.4,3767.0,3841.5,3845.35,3828.3,1691473,6475463794.9,109836,789494,46.67,
TCS,EQ,2021-09-14,3845.35,3849.95,3896.5,3825.0,3880.1,3885.9,3873.73,1991188,7713316318.1,104679,1273237,63.94,0.010545203947625037
TCS,EQ,2021-09-15,3885.9,3882.1,3980.0,3866.0,3950.0,3954.55,3929.4,2461369,9671698399.65,120015,1222171,49.65,0.017666435060089025
TCS,EQ,2021-09-16,3954.55,3930.0,3981.75,3892.1,3903.05,3903.3,3931.95,2946666,11586139448.2,123851,2125781,72.14,-0.012959755218672209
TCS,EQ,2021-09-17,3903.3,3920.0,3945.0,3805.0,3826.55,3827.85,3851.08,6477148,24944046353.1,155142,4501470,69.5,-0.019329797863346432
TCS,EQ,2021-09-20,3827.85,3809.0,3871.0,3807.85,3820.05,3823.5,3837.22,2002008,7682147330.75,120832,1112498,55.57,-0.001136408166464209
TCS,EQ,2021-09-21,3823.5,3858.0,3871.55,3821.65,3861.95,3862.95,3850.74,1568129,6038455605.45,99059,851956,54.33,0.010317771675166787
TCS,EQ,2021-09-22,3862.95,3862.5,3896.85,3852.45,3856.75,3862.15,3873.71,1744067,6756003293.95,93000,1015045,58.2,-0.0002070956134559987
TCS,EQ,2021-09-23,3862.15,3870.0,3879.0,3835.0,3872.0,3869.25,3859.54,2003869,7734019886.4,131024,1396484,69.69,0.0018383542845306078
TCS,EQ,2021-09-24,3869.25,3890.0,3944.4,3855.0,3878.75,3871.3,3908.95,2320754,9071718889.85,185756,1308031,56.36,0.0005298184402662276
TCS,EQ,2021-09-27,3871.3,3900.0,3904.0,3802.9,3839.0,3836.95,3842.81,1673362,6430415744.6,126569,989998,59.16,-0.00887298840182893
TCS,EQ,2021-09-28,3836.95,3850.0,3850.0,3751.25,3777.05,3779.15,3784.75,2253075,8527330472.4,140925,1558553,69.17,-0.015064048267504071
TCS,EQ,2021-09-29,3779.15,3759.8,3806.0,3722.15,3794.55,3791.9,3767.14,2489161,9377015958.3,138418,1548275,62.2,0.0033737745260178365
TCS,EQ,2021-09-30,3791.9,3805.0,3805.0,3750.1,3778.7,3775.55,3773.28,2252412,8498981489.3,145940,1546273,68.65,-0.004311822569160517
TCS,EQ,2021-10-01,3775.55,3781.75,3810.0,3725.0,3728.65,3730.2,3747.99,1578374,5915725343.65,132388,916682,58.08,-0.012011495013971585
TCS,EQ,2021-10-04,3730.2,3724.8,3783.65,3707.45,3779.0,3773.3,3762.58,1356860,5105290641.5,82301,783170,57.72,0.01155434024985258
TCS,EQ,2021-10-05,3773.3,3754.0,3840.0,3741.6,3839.1,3833.3,3785.15,1877966,7108385858.15,107053,1088332,57.95,0.015901200540640925
TCS,EQ,2021-10-06,3833.3,3836.0,3857.45,3795.0,3813.8,3810.9,3830.18,1678154,6427634316.05,105524,949703,56.59,-0.005843529074165854
TCS,EQ,2021-10-07,3810.9,3830.0,3899.0,3820.05,3898.0,3892.9,3868.01,1647233,6371521151.0,100510,693631,42.11,0.021517226901781816
TCS,EQ,2021-10-08,3892.9,3925.0,3989.9,3900.0,3943.0,3935.65,3947.83,2934339,11584283174.7,178433,1040830,35.47,0.010981530478563428
TCS,EQ,2021-10-11,3935.65,3755.0,3757.5,3660.0,3687.95,3685.6,3702.67,11845402,43859658074.25,704881,6606303,55.77,-0.06353461308805408
TCS,EQ,2021-10-12,3685.6,3706.0,3707.0,3630.6,3656.2,3652.85,3658.54,5752877,21047120430.0,371571,3799131,66.04,-0.00888593444757979
TCS,EQ,2021-10-13,3652.85,3650.0,3675.45,3645.0,3658.05,3655.2,3655.85,3545655,12962366655.15,228263,2564283,72.32,0.0006433332877069375
TCS,EQ,2021-10-14,3655.2,3625.0,3670.0,3608.2,3614.8,3611.45,3626.77,6442299,23364720249.3,406019,4714726,73.18,-0.011969249288684591
TCS,EQ,2021-10-18,3611.45,3603.45,3652.7,3601.45,3649.0,3647.15,3631.23,3590107,13036517799.15,213590,2407286,67.05,0.0098852261556992
TCS,EQ,2021-10-19,3647.15,3669.0,3690.1,3625.2,3634.45,3634.15,3661.85,3135441,11481500581.85,191609,1815161,57.89,-0.003564427018356797
TCS,EQ,2021-10-20,3634.15,3612.0,3630.0,3578.3,3607.95,3608.85,3606.05,2933693,10579039337.05,175675,1685241,57.44,-0.006961737957981939
TCS,EQ,2021-10-21,3608.85,3604.1,3607.45,3511.25,3532.85,3532.5,3546.27,4871211,17274650004.55,295349,3125514,64.16,-0.021156324036742946
TCS,EQ,2021-10-22,3532.5,3560.0,3561.6,3485.0,3501.85,3498.85,3511.44,2691670,9451650099.45,163976,1700467,63.18,-0.009525831564048182
TCS,EQ,2021-10-25,3498.85,3503.0,3514.55,3450.0,3491.0,3492.95,3477.23,2595594,9025471433.6,139684,1627737,62.71,-0.0016862683453134908
TCS,EQ,2021-10-26,3492.95,3494.5,3529.0,3475.0,3485.9,3482.6,3494.69,3878763,13555085104.1,155172,2821225,72.74,-0.0029631114101260625
TCS,EQ,2021-10-27,3482.6,3483.0,3511.25,3483.0,3488.45,3489.75,3495.53,2510813,8776620129.0,122328,1766894,70.37,0.00205306380290593
TCS,EQ,2021-10-28,3489.75,3518.0,3518.0,3415.0,3423.0,3421.65,3450.19,2424942,8366511722.1,187690,1497979,61.77,-0.019514291854717314
TCS,EQ,2021-10-29,3421.65,3400.05,3461.0,3385.95,3404.0,3397.75,3424.21,3960501,13561601567.6,241935,2238879,56.53,-0.00698493416918744
TCS,EQ,2021-11-01,3397.75,3437.95,3487.0,3412.95,3482.35,3476.4,3445.74,2020718,6962871688.9,154841,1166862,57.74,0.023147671253035185
TCS,EQ,2021-11-02,3476.4,3494.0,3513.6,3469.75,3484.0,3484.2,3490.81,3087414,10777567152.9,134659,2067119,66.95,0.0022437003797031174
TCS,EQ,2021-11-03,3484.2,3504.2,3519.9,3466.05,3488.0,3492.25,3492.58,1537639,5370327266.85,98779,791208,51.46,0.0023104299408760465
TCS,EQ,2021-11-04,3492.25,3512.95,3513.25,3505.0,3508.65,3508.65,3509.12,328991,1154468248.3,42244,246904,75.05,0.004696112821247045
TCS,EQ,2021-11-08,3508.65,3548.0,3548.0,3481.2,3506.0,3502.75,3503.3,2526082,8849622221.8,144893,1652814,65.43,-0.0016815584341556278
TCS,EQ,2021-11-09,3502.75,3508.0,3535.0,3496.0,3503.0,3505.7,3508.51,1782692,6254594395.95,90441,1106403,62.06,0.0008421954178858826
TCS,EQ,2021-11-10,3505.7,3498.0,3519.7,3480.2,3484.95,3484.3,3494.09,1516489,5298754955.55,115924,955899,63.03,-0.006104344353481395
TCS,EQ,2021-11-11,3484.3,3480.0,3510.05,3436.0,3505.0,3488.2,3464.62,1284514,4450347031.55,98386,614576,47.85,0.0011193066039087984
TCS,EQ,2021-11-12,3488.2,3506.0,3534.15,3485.7,3524.0,3526.05,3509.52,1747259,6132048785.7,98323,1086001,62.15,0.010850868642853229
TCS,EQ,2021-11-15,3526.05,3528.0,3569.6,3528.0,3550.0,3553.3,3554.41,1809157,6430484084.55,113981,1104175,61.03,0.007728194438536118
TCS,EQ,2021-11-16,3553.3,3569.0,3575.55,3542.0,3548.0,3556.4,3560.79,2013204,7168605743.85,105284,1371662,68.13,0.0008724284467958032
TCS,EQ,2021-11-17,3556.4,3550.6,3562.85,3506.4,3520.8,3521.9,3533.85,1632914,5770466506.8,126358,1033842,63.31,-0.009700821054999476
TCS,EQ,2021-11-18,3521.9,3515.15,3520.85,3451.6,3471.95,3475.7,3478.49,2136598,7432143867.4,135284,1367516,64.0,-0.013117919304920678
TCS,EQ,2021-11-22,3475.7,3478.4,3515.95,3440.3,3463.75,3458.4,3482.5,3167936,11032349106.2,169460,2146221,67.75,-0.0049774146215150195
TCS,EQ,2021-11-23,3458.4,3445.0,3480.95,3407.8,3472.0,3464.25,3455.05,2153461,7440308037.35,160137,1449786,67.32,0.0016915336571825534
TCS,EQ,2021-11-24,3464.25,3472.2,3493.05,3424.0,3431.95,3443.3,3469.8,2161746,7500832834.1,163891,1640323,75.88,-0.006047485025618804
TCS,EQ,2021-11-25,3443.3,3443.9,3463.0,3434.05,3450.0,3445.9,3451.54,1849619,6384030188.95,102359,1294556,69.99,0.0007550895942844971
TCS,EQ,2021-11-26,3445.9,3425.0,3490.0,3411.9,3439.2,3446.85,3454.4,1941251,6705853480.8,156945,1152929,59.39,0.00027568995037574595
TCS,EQ,2021-11-29,3446.85,3447.15,3529.35,3406.45,3503.5,3502.0,3490.28,2981745,10407130645.3,206893,1648719,55.29,0.0160001160479859
TCS,EQ,2021-11-30,3502.0,3491.0,3563.75,3491.0,3535.0,3529.15,3535.48,5588446,19757846113.05,208979,3849797,68.89,0.007752712735579648
TCS,EQ,2021-12-01,3529.15,3535.0,3590.0,3535.0,3581.0,3577.8,3568.53,2102118,7501467334.9,177235,1311474,62.39,0.013785189068189263
TCS,EQ,2021-12-02,3577.8,3589.2,3648.0,3574.1,3637.0,3642.9,3614.21,3152938,11395387802.95,146031,2208112,70.03,0.01819553915814187
TCS,EQ,2021-12-03,3642.9,3646.45,3665.95,3630.85,3641.0,3640.45,3644.63,2486263,9061499107.35,136470,1904713,76.61,-0.0006725411073595922
TCS,EQ,2021-12-06,3640.45,3640.45,3658.0,3522.0,3533.8,3536.4,3585.65,1849642,6632172778.45,117199,1050297,56.78,-0.028581631391723428
TCS,EQ,2021-12-07,3536.4,3562.5,3598.0,3524.3,3589.9,3584.5,3572.57,1484458,5303328386.25,107141,812623,54.74,0.013601402556271847
TCS,EQ,2021-12-08,3584.5,3601.0,3646.45,3601.0,3624.0,3626.9,3631.02,1428660,5187489131.6,88625,826623,57.86,0.01182870693262661
TCS,EQ,2021-12-09,3626.9,3610.0,3634.75,3566.0,3600.0,3601.75,3593.64,1567957,5634666502.4,100995,890952,56.82,-0.006934296506658555
TCS,EQ,2021-12-10,3601.75,3585.0,3642.0,3575.1,3630.0,3636.8,3611.25,1510718,5455578667.05,69648,833404,55.17,0.00973138057888523
TCS,EQ,2021-12-13,3636.8,3650.0,3662.0,3601.7,3615.0,3609.65,3626.62,1883864,6832065637.6,93875,1329794,70.59,-0.007465354157501158
TCS,EQ,2021-12-14,3609.65,3605.0,3635.0,3576.7,3619.95,3623.8,3618.04,1747007,6320734400.1,105436,1216832,69.65,0.003920047650049163
TCS,EQ,2021-12-15,3623.8,3620.0,3623.0,3558.15,3571.0,3570.35,3575.02,1603233,5731595939.6,109534,1141894,71.22,-0.01474971024891003
TCS,EQ,2021-12-16,3570.35,3582.0,3608.45,3570.0,3585.0,3581.6,3582.96,2072320,7425032318.85,93950,1560825,75.32,0.003150951587379325
TCS,EQ,2021-12-17,3581.6,3602.5,3651.35,3573.7,3574.9,3584.35,3608.9,4333992,15640958964.15,213460,2677223,61.77,0.0007678132678132776
TCS,EQ,2021-12-20,3584.35,3589.0,3606.0,3510.15,3559.3,3556.9,3569.27,2312310,8253261975.1,146094,1243439,53.77,-0.007658292298464153
TCS,EQ,2021-12-21,3556.9,3582.65,3641.2,3566.4,3611.0,3608.3,3617.22,2340989,8467877601.9,118423,1470826,62.83,0.014450785796620735
TCS,EQ,2021-12-22,3608.3,3624.0,3636.8,3606.25,3628.3,3630.75,3625.84,1224328,4439223316.5,102255,755182,61.68,0.006221766482831237
TCS,EQ,2021-12-23,3630.75,3648.0,3670.5,3630.0,3660.65,3662.7,3656.52,1792861,6555623174.05,98445,1107607,61.78,0.008799834744887436
TCS,EQ,2021-12-24,3662.7,3685.0,3705.0,3644.8,3671.0,3670.9,3673.31,2209923,8117727561.7,88664,1156092,52.31,0.002238785595325865
TCS,EQ,2021-12-27,3670.9,3671.0,3700.0,3653.1,3696.5,3696.1,3684.66,1534135,5652764172.3,80828,866793,56.5,0.006864801547304511
TCS,EQ,2021-12-28,3696.1,3710.0,3725.0,3693.85,3706.95,3706.55,3713.05,1456218,5407012571.25,83968,917903,63.03,0.002827304456048285
TCS,EQ,2021-12-29,3706.55,3692.25,3719.95,3685.0,3688.05,3694.7,3704.9,1456923,5397758672.0,94120,1091321,74.91,-0.0031970430723989862
TCS,EQ,2021-12-30,3694.7,3681.35,3740.0,3680.0,3737.0,3733.75,3725.52,1966475,7326133567.9,105274,1296163,65.91,0.01056919370990883
TCS,EQ,2021-12-31,3733.75,3742.8,3760.0,3731.3,3740.0,3738.35,3744.51,1207141,4520149056.45,101227,727618,60.28,0.0012320053565451072
TCS,EQ,2022-01-03,3738.35,3750.0,3830.0,3745.0,3815.0,3817.75,3807.43,2346158,8932827981.15,143798,1433211,61.09,0.02123931681089264
TCS,EQ,2022-01-04,3817.75,3831.1,3889.15,3811.7,3878.7,3884.75,3859.3,2488606,9604274014.3,141253,1539134,61.85,0.017549603824241977
TCS,EQ,2022-01-05,3884.75,3865.0,3870.0,3812.4,3856.0,3860.95,3847.67,1733031,6668131688.0,136018,988277,57.03,-0.006126520368106125
TCS,EQ,2022-01-06,3860.95,3812.0,3835.0,3772.0,3809.95,3807.45,3802.98,1810293,6884500149.55,135529,995325,54.98,-0.013856693300871581
TCS,EQ,2022-01-07,3807.45,3820.0,3864.9,3796.4,3858.9,3853.5,3839.03,2460591,9446283701.75,157006,1501620,61.03,0.012094709057243191
TCS,EQ,2022-01-10,3853.5,3978.0,3978.0,3861.0,3884.0,3879.85,3897.84,3937092,15346166149.8,247085,1687823,42.87,0.00683793953548717
TCS,EQ,2022-01-11,3879.85,3856.0,3925.0,3856.0,3917.0,3915.9,3896.96,1906106,7428014700.35,160870,1054450,55.32,0.009291596324600304
TCS,EQ,2022-01-12,3915.9,3925.0,3929.0,3836.55,3857.0,3859.9,3874.16,3203744,12411815990.8,241232,1866561,58.26,-0.014300671620827932
TCS,EQ,2022-01-13,3859.9,3918.0,3923.0,3857.0,3898.0,3897.9,3891.72,6684507,26014258279.5,401435,3737081,55.91,0.009844814632503418
TCS,EQ,2022-01-14,3897.9,3877.85,3977.0,3860.05,3965.35,3968.15,3924.25,3348123,13138881273.1,213960,1768475,52.82,0.018022524949331764
TCS,EQ,2022-01-17,3968.15,3992.7,4043.0,3962.3,4025.0,4019.15,4010.33,3442604,13805980840.45,230947,1699919,49.38,0.012852336731222325
TCS,EQ,2022-01-18,4019.15,4033.95,4041.7,3980.0,3993.95,3990.6,4009.82,2389041,9579619424.1,185771,1635845,68.47,-0.007103492031897307
TCS,EQ,2022-01-19,3990.6,4012.0,4012.0,3910.5,3914.7,3914.65,3937.16,3102539,12215195983.15,260043,2121306,68.37,-0.01903222573046659
TCS,EQ,2022-01-20,3914.65,3910.0,3920.0,3811.0,3833.15,3826.55,3843.03,6176776,23737557017.75,349194,4962139,80.34,-0.02250520480758178
TCS,EQ,2022-01-21,3826.55,3807.0,3851.55,3771.1,3840.0,3833.5,3820.58,3112358,11891026050.45,240408,1795708,57.7,0.0018162574642954787
TCS,EQ,2022-01-24,3833.5,3840.0,3849.65,3740.1,3769.95,3771.35,3783.08,3258414,12326830753.15,288359,2095906,64.32,-0.016212338593974196
TCS,EQ,2022-01-25,3771.35,3769.5,3809.4,3722.2,3765.0,3769.9,3763.15,3330501,12533182476.5,298567,2094835,62.9,-0.00038447770692184857
TCS,EQ,2022-01-27,3769.9,3731.0,3733.4,3625.1,3652.0,3649.25,3669.1,5718297,20981028870.55,473910,3887598,67.99,-0.03200350141913577
TCS,EQ,2022-01-28,3649.25,3646.0,3729.8,3646.0,3697.85,3690.05,3702.94,3143862,11641524811.25,226989,1863034,59.26,0.011180379530040474
TCS,EQ,2022-01-31,3690.05,3749.0,3758.0,3721.4,3744.95,3736.25,3741.03,2739393,10248148872.1,193114,1708467,62.37,0.012520155553447765
TCS,EQ,2022-02-01,3736.25,3770.0,3808.0,3736.4,3805.0,3800.65,3781.44,2105169,7960578363.5,149564,1067316,50.7,0.017236533957845523
TCS,EQ,2022-02-02,3800.65,3827.9,3864.0,3800.65,3863.0,3856.2,3841.31,1984212,7621963889.9,139468,1158079,58.36,0.014615920960888262
TCS,EQ,2022-02-03,3856.2,3851.0,3882.5,3816.05,3819.0,3824.6,3850.57,1960538,7549182942.05,137513,1242614,63.38,-0.008194595715989794
TCS,EQ,2022-02-04,3824.6,3815.3,3824.7,3769.0,3818.0,3814.9,3804.03,2307366,8777283685.05,160651,1415833,61.36,-0.0025362129373005526
TCS,EQ,2022-02-07,3814.9,3791.0,3831.8,3756.15,3781.8,3779.0,3791.19,1919149,7275863610.7,159690,1160277,60.46,-0.009410469474953498
TCS,EQ,2022-02-08,3779.0,3791.55,3799.7,3721.0,3738.0,3743.45,3741.49,2946443,11024097961.5,209984,2092329,71.01,-0.00940725059539571
TCS,EQ,2022-02-09,3743.45,3750.0,3777.95,3746.1,3761.65,3760.55,3761.99,1638721,6164860124.35,124222,1190875,72.67,0.004567978736192746
TCS,EQ,2022-02-10,3760.55,3789.8,3789.8,3758.0,3765.7,3770.35,3771.41,2112459,7966959377.85,127158,1512559,71.6,0.0026060017816542658
TCS,EQ,2022-02-11,3770.35,3752.5,3752.5,3690.0,3693.0,3694.95,3703.65,3851488,14264552938.2,242420,2684979,69.71,-0.019998143408436864
TCS,EQ,2022-02-14,3694.95,3724.0,3793.25,3710.0,3729.15,3733.75,3749.84,5951745,22318114654.2,452110,3157466,53.05,0.010500818684961999
TCS,EQ,2022-02-15,3733.75,3786.0,3835.0,3748.0,3832.95,3817.8,3784.27,3931683,14878547124.95,347451,2283223,58.07,0.022510880482089046
TCS,EQ,2022-02-16,3817.8,3844.0,3854.1,3806.0,3810.0,3813.1,3822.91,3256906,12450874614.35,224789,1989270,61.08,-0.0012310754885013209
TCS,EQ,2022-02-17,3813.1,3825.0,3835.0,3779.0,3783.85,3784.2,3796.61,3134372,11900002924.7,259784,2140343,68.29,-0.007579135086937194
TCS,EQ,2022-02-18,3784.2,3769.0,3815.95,3757.6,3800.0,3793.9,3788.53,3688883,13975451807.2,286278,2727483,73.94,0.002563289466730234
TCS,EQ,2022-02-21,3793.9,3810.0,3827.8,3705.55,3719.35,3719.4,3746.53,7465922,27971335681.4,521065,4843446,64.87,-0.019636785365982234
TCS,EQ,2022-02-22,3719.4,3650.0,3667.9,3570.0,3590.0,3586.4,3596.79,5408531,19453348172.2,334519,3214082,59.43,-0.03575845566489222
TCS,EQ,2022-02-23,3586.4,3611.0,3622.9,3555.65,3571.9,3563.8,3581.54,2426203,8689549721.75,166091,1476108,60.84,-0.0063015837608744185
TCS,EQ,2022-02-24,3563.8,3474.0,3483.85,3391.1,3400.45,3401.65,3440.54,5039136,17337349379.3,344070,3127576,62.07,-0.04549918626185534
TCS,EQ,2022-02-25,3401.65,3468.0,3530.0,3462.0,3525.0,3520.75,3508.31,2549723,8945212715.3,178046,1286087,50.44,0.03501242044302022
TCS,EQ,2022-02-28,3520.75,3490.0,3563.75,3455.9,3550.15,3554.2,3529.86,3288942,11609499907.55,157832,1957822,59.53,0.009500816587374894
TCS,EQ,2022-03-02,3554.2,3552.5,3571.95,3506.0,3549.0,3546.15,3537.16,2761341,9767303515.95,159497,1608352,58.25,-0.0022649260030386253
TCS,EQ,2022-03-03,3546.15,3562.85,3578.6,3530.1,3544.0,3544.4,3553.27,1928039,6850848054.25,162316,1095452,56.82,-0.0004934929430508994
TCS,EQ,2022-03-04,3544.4,3501.5,3561.2,3487.05,3519.8,3524.35,3525.56,2370257,8356482128.95,150154,1412782,59.6,-0.005656810743708385
TCS,EQ,2022-03-07,3524.35,3450.0,3548.0,3431.55,3481.1,3484.9,3491.46,3054130,10663373904.35,240636,1842815,60.34,-0.01119355342119821
TCS,EQ,2022-03-08,3484.9,3460.0,3609.0,3460.0,3594.0,3599.95,3570.91,3300992,11787552347.95,182907,1897296,57.48,0.03301385979511595
TCS,EQ,2022-03-09,3599.95,3605.0,3654.0,3597.05,3640.7,3632.6,3631.79,2719654,9877225026.5,171411,1493364,54.91,0.009069570410700223
TCS,EQ,2022-03-10,3632.6,3684.0,3684.0,3615.0,3621.05,3620.95,3639.93,2005441,7299662362.8,129608,1143533,57.02,-0.003207069316742861
TCS,EQ,2022-03-11,3620.95,3603.25,3639.85,3592.85,3603.0,3599.15,3615.45,1623423,5869407353.85,119798,997926,61.47,-0.0060205194769328285
TCS,EQ,2022-03-14,3599.15,3580.0,3648.35,3580.0,3645.0,3643.0,3620.43,1765688,6392547278.65,119156,947609,53.67,0.012183432199269317
TCS,EQ,2022-03-15,3643.0,3659.0,3659.0,3585.4,3598.0,3593.9,3627.9,3651133,13245962358.7,154118,2937815,80.46,-0.013477902827340071
TCS,EQ,2022-03-16,3593.9,3640.5,3668.0,3616.25,3657.55,3655.9,3640.94,3090475,11252241518.05,94898,2374997,76.85,0.017251453852360932
TCS,EQ,2022-03-17,3655.9,3696.6,3710.0,3660.3,3674.95,3672.75,3685.79,3600452,13270520963.0,139747,2281677,63.37,0.004608988210837328
TCS,EQ,2022-03-21,3672.75,3696.0,3713.95,3615.0,3620.0,3626.7,3650.28,2413831,8811169624.5,131933,1443014,59.78,-0.012538288748213278
TCS,EQ,2022-03-22,3626.7,3640.0,3711.0,3625.0,3704.95,3700.95,3674.13,2907611,10682934318.3,124599,1931906,66.44,0.020473157415832555
TCS,EQ,2022-03-23,3700.95,3708.0,3729.8,3690.0,3710.0,3712.4,3708.22,1596195,5919042115.35,82816,803477,50.34,0.0030938002404787834
TCS,EQ,2022-03-24,3712.4,3700.0,3758.2,3695.0,3740.5,3749.85,3741.33,1879046,7030133316.7,86810,1248970,66.47,0.01008781381316659
TCS,EQ,2022-03-25,3749.85,3759.9,3779.5,3672.0,3710.0,3707.45,3716.53,1690133,6281432591.55,101622,951033,56.27,-0.011307118951424777
TCS,EQ,2022-03-28,3707.45,3695.0,3713.0,3661.2,3700.0,3707.7,3689.86,1760990,6497804966.2,119630,878863,49.91,6.743179274160127e-05
TCS,EQ,2022-03-29,3707.7,3694.75,3722.0,3691.0,3701.0,3705.35,3707.08,2689063,9968577738.75,166424,1876469,69.78,-0.0006338161124146424
TCS,EQ,2022-03-30,3705.35,3738.0,3738.0,3706.2,3730.0,3731.55,3723.34,1583455,5895744278.15,109724,1071594,67.67,0.007070857004061848
TCS,EQ,2022-03-31,3731.55,3740.0,3754.65,3720.2,3742.85,3739.95,3743.43,2168110,8116163209.35,146788,1597155,73.67,0.0022510752904287834
TCS,EQ,2022-04-01,3739.95,3748.0,3763.0,3728.05,3759.0,3758.75,3747.37,1387014,5197652138.25,91136,897433,64.7,0.005026805171192139
TCS,EQ,2022-04-04,3758.75,3762.0,3780.0,3737.1,3771.0,3770.35,3767.16,1472994,5548997654.95,101419,919895,62.45,0.003086132357831728
TCS,EQ,2022-04-05,3770.35,3772.0,3835.6,3772.0,3812.5,3814.8,3813.04,2314947,8826982342.8,163963,1228409,53.06,0.011789356425796038
TCS,EQ,2022-04-06,3814.8,3809.3,3809.3,3731.15,3752.0,3755.35,3761.93,2051729,7718464770.35,132368,1245604,60.71,-0.015584041103072321
TCS,EQ,2022-04-07,3755.35,3745.5,3745.5,3679.0,3682.95,3684.15,3705.25,2494829,9243973241.15,149240,1814089,72.71,-0.018959617612206547
TCS,EQ,2022-04-08,3684.15,3690.0,3705.0,3642.5,3690.05,3685.65,3677.34,2296773,8446026504.2,134082,1503584,65.47,0.0004071495460282737
TCS,EQ,2022-04-11,3685.65,3690.0,3712.35,3656.1,3699.0,3696.4,3690.42,2291660,8457191677.85,171882,1175930,51.31,0.0029167175396469514
TCS,EQ,2022-04-12,3696.4,3683.0,3739.0,3648.35,3686.0,3691.1,3706.35,4483476,16617340654.7,254563,1662462,37.08,-0.0014338275078454865
TCS,EQ,2022-04-13,3691.1,3707.0,3709.85,3655.55,3664.95,3661.95,3673.55,1621672,5957287429.65,103822,871209,53.72,-0.00789737476632979
TCS,EQ,2022-04-18,3661.95,3610.0,3610.0,3522.5,3531.8,3528.05,3548.77,3820792,13559130603.8,324929,2676562,70.05,-0.03656521798495327
TCS,EQ,2022-04-19,3528.05,3550.0,3563.55,3439.15,3462.0,3471.9,3508.54,3170014,11122129456.75,208443,2190202,69.09,-0.015915307322742045
