symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return
TITAN,EQ,2021-09-13,2034.3,2037.0,2043.45,2021.15,2032.0,2030.65,2031.14,786459,1597410473.55,53662,549374,69.85,
TITAN,EQ,2021-09-14,2030.65,2038.9,2061.5,2032.05,2052.95,2055.7,2050.46,888765,1822372883.85,67618,527802,59.39,0.012335951542609358
TITAN,EQ,2021-09-15,2055.7,2060.0,2133.0,2060.0,2118.0,2119.85,2114.32,2795995,5911638231.3,110486,1122600,40.15,0.03120591526000882
TITAN,EQ,2021-09-16,2119.85,2132.95,2132.95,2095.05,2107.0,2108.7,2107.23,725123,1528003038.95,41720,348917,48.12,-0.005259806118357524
TITAN,EQ,2021-09-17,2108.7,2113.95,2150.0,2080.0,2103.75,2095.6,2112.99,1727410,3649992478.95,83540,877121,50.78,-0.006212358325034306
TITAN,EQ,2021-09-20,2095.6,2088.0,2096.0,2070.55,2076.9,2077.35,2081.85,411738,857176271.35,37253,165495,40.19,-0.008708723038747812
TITAN,EQ,2021-09-21,2077.35,2075.0,2097.5,2062.1,2089.0,2085.85,2081.01,539788,1123305124.65,32786,279725,51.82,0.004091751510337582
TITAN,EQ,2021-09-22,2085.85,2096.8,2110.95,2073.4,2077.65,2081.05,2090.22,1057480,2210371057.5,55217,564526,53.38,-0.0023012201260875775
TITAN,EQ,2021-09-23,2081.05,2090.0,2113.75,2076.6,2106.0,2105.05,2096.94,711634,1492255842.0,46700,331592,46.6,0.011532639773191411
TITAN,EQ,2021-09-24,2105.05,2105.0,2115.0,2085.0,2095.7,2092.9,2094.22,540771,1132495668.65,39759,271810,50.26,-0.005771834398232811
TITAN,EQ,2021-09-27,2092.9,2099.0,2107.35,2077.2,2092.5,2090.25,2090.52,507550,1061044257.85,30520,260013,51.23,-0.0012661856753787282
TITAN,EQ,2021-09-28,2090.25,2083.2,2138.0,2083.05,2133.85,2129.3,2121.94,923489,1959591885.6,58033,272159,29.47,0.018681975840210585
TITAN,EQ,2021-09-29,2129.3,2129.0,2167.9,2110.05,2150.0,2147.5,2141.13,912912,1954667173.65,57601,289901,31.76,0.008547409946930928
