symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return,adjustment_factor_applied,adjusted_open_price,adjusted_high_price,adjusted_low_price,adjusted_close_price,adjusted_last_price,adjusted_average_price,adjusted_prev_close,adjusted_daily_return,corporate_action_date,raw_extreme_return,adjusted_extreme_return
BAJFINANCE,EQ,2021-09-13,7430.65,7430.65,7495.0,7352.0,7451.95,7445.55,7419.32,802565,5954485894.8,86733,300657,37.46,,10.0,743.0649999999999,749.5,735.2,744.5550000000001,745.1949999999999,741.932,743.0649999999999,,False,False,False
BAJFINANCE,EQ,2021-09-14,7445.55,7480.0,7530.0,7408.0,7415.0,7417.55,7450.12,719258,5358557212.9,73995,300256,41.75,-0.0037606355474074,10.0,748.0,753.0,740.8,741.755,741.5,745.012,744.5550000000001,-0.003760635547407576,False,False,False
BAJFINANCE,EQ,2021-09-15,7417.55,7445.0,7480.0,7380.0,7409.0,7414.15,7410.84,657283,4871021284.35,83065,346189,52.67,-0.0004583723736274,10.0,744.5,748.0,738.0,741.415,740.9,741.0840000000001,741.755,-0.000458372373627447,False,False,False
BAJFINANCE,EQ,2021-09-16,7414.15,7445.0,7445.0,7330.5,7415.0,7411.5,7381.98,577129,4260353297.4,63734,177821,30.81,-0.0003574246542084,10.0,744.5,744.5,733.05,741.15,741.5,738.198,741.415,-0.00035742465420851577,False,False,False
BAJFINANCE,EQ,2021-09-17,7411.5,7445.5,7679.95,7360.0,7442.0,7428.8,7538.26,3474969,26195213323.75,203446,1275198,36.7,0.0023342103487822,10.0,744.55,767.995,736.0,742.88,744.2,753.826,741.15,0.0023342103487822286,False,False,False
BAJFINANCE,EQ,2021-09-20,7428.8,7360.0,7581.0,7320.75,7428.0,7442.45,7468.86,1083806,8094799659.45,97599,203797,18.8,0.0018374434632779,10.0,736.0,758.1,732.075,744.245,742.8,746.886,742.88,0.0018374434632779657,False,False,False
BAJFINANCE,EQ,2021-09-21,7442.45,7481.15,7847.1,7401.0,7820.0,7813.85,7633.73,1993133,15215030411.4,155330,545472,27.37,0.0499029217529174,10.0,748.115,784.71,740.1,781.385,782.0,763.3729999999999,744.245,0.04990292175291744,False,False,False
BAJFINANCE,EQ,2021-09-22,7813.85,7850.0,7895.0,7771.0,7780.15,7793.65,7830.06,1500541,11749328805.0,114708,573337,38.21,-0.0025851532855123,10.0,785.0,789.5,777.1,779.365,778.015,783.0060000000001,781.385,-0.0025851532855122317,False,False,False
BAJFINANCE,EQ,2021-09-23,7793.65,7863.6,7999.0,7804.65,7890.05,7899.05,7914.73,2109147,16693322738.2,160052,731590,34.69,0.0135238302977425,10.0,786.36,799.9,780.4649999999999,789.905,789.005,791.473,779.365,0.01352383029774229,False,False,False
BAJFINANCE,EQ,2021-09-24,7899.05,7949.85,7949.85,7725.65,7786.45,7793.4,7816.87,1129346,8827954332.8,159552,484984,42.94,-0.0133750261107349,10.0,794.985,794.985,772.5649999999999,779.3399999999999,778.645,781.687,789.905,-0.013375026110734933,False,False,False
BAJFINANCE,EQ,2021-09-27,7793.4,7849.0,7860.0,7740.05,7794.0,7795.45,7797.32,650774,5074294615.1,78772,246962,37.95,0.0002630430877408,10.0,784.9,786.0,774.005,779.545,779.4,779.732,779.3399999999999,0.000263043087741055,False,False,False
BAJFINANCE,EQ,2021-09-28,7795.45,7815.0,7825.0,7425.05,7536.0,7543.3,7581.48,1572301,11920365943.05,144602,760945,48.4,-0.0323457914552719,10.0,781.5,782.5,742.505,754.33,753.6,758.1479999999999,779.545,-0.03234579145527183,False,False,False
BAJFINANCE,EQ,2021-09-29,7543.3,7529.0,7635.85,7456.15,7510.0,7515.4,7532.75,945879,7125067448.2,109016,331880,35.09,-0.0036986464809831,10.0,752.9,763.585,745.615,751.54,751.0,753.275,754.33,-0.003698646480983281,False,False,False
BAJFINANCE,EQ,2021-09-30,7515.4,7545.0,7700.0,7490.9,7674.0,7668.1,7622.74,1490707,11363275896.55,140935,602246,40.4,0.0203182797988132,10.0,754.5,770.0,749.0899999999999,766.8100000000001,767.4,762.274,751.54,0.020318279798813288,False,False,False
BAJFINANCE,EQ,2021-10-01,7668.1,7620.0,7639.2,7475.0,7525.0,7522.75,7531.72,937740,7062792917.45,91377,336076,35.84,-0.0189551518629126,10.0,762.0,763.92,747.5,752.275,752.5,753.172,766.8100000000001,-0.018955151862912745,False,False,False
BAJFINANCE,EQ,2021-10-04,7522.75,7588.0,7769.0,7560.15,7693.15,7695.05,7689.69,1090198,8383282826.9,88726,332421,30.49,0.0229038582965006,10.0,758.8,776.9,756.015,769.505,769.3149999999999,768.9689999999999,752.275,0.022903858296500657,False,False,False
BAJFINANCE,EQ,2021-10-05,7695.05,7683.0,7765.0,7634.1,7749.95,7724.2,7704.64,773243,5957559262.4,74753,226772,29.33,0.0037881495246943,10.0,768.3,776.5,763.4100000000001,772.42,774.995,770.464,769.505,0.0037881495246943064,False,False,False
BAJFINANCE,EQ,2021-10-06,7724.2,7810.0,7880.6,7685.0,7730.0,7735.15,7779.33,1764631,13727647604.6,134494,747589,42.37,0.0014176225369617,10.0,781.0,788.0600000000001,768.5,773.515,773.0,777.933,772.42,0.00141762253696176,False,False,False
BAJFINANCE,EQ,2021-10-07,7735.15,7845.9,7885.0,7738.0,7758.0,7747.9,7804.37,940550,7340402807.1,67268,382768,40.7,0.0016483196835226,10.0,784.5899999999999,788.5,773.8,774.79,775.8,780.437,773.515,0.0016483196835226366,False,False,False
BAJFINANCE,EQ,2021-10-08,7747.9,7750.0,7829.0,7712.0,7730.5,7732.2,7775.52,756571,5882732041.0,70918,240171,31.74,-0.0020263555285948,10.0,775.0,782.9,771.2,773.22,773.05,777.552,774.79,-0.0020263555285947588,False,False,False
BAJFINANCE,EQ,2021-10-11,7732.2,7773.9,7904.4,7752.0,7827.0,7817.1,7837.39,908648,7121431947.2,65766,345628,38.04,0.0109800574222085,10.0,777.39,790.4399999999999,775.2,781.71,782.7,783.739,773.22,0.010980057422208533,False,False,False
