symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return,adjustment_factor_applied,adjusted_open_price,adjusted_high_price,adjusted_low_price,adjusted_close_price,adjusted_last_price,adjusted_average_price,adjusted_prev_close,adjusted_daily_return,corporate_action_date,raw_extreme_return,adjusted_extreme_return
HDFCBANK,EQ,2021-09-13,1568.6,1562.0,1584.0,1553.65,1555.75,1555.55,1560.43,4479582,6990094956.85,162851,3354836,74.89,,2.0,781.0,792.0,776.825,777.775,777.875,780.215,784.3,,False,False,False
HDFCBANK,EQ,2021-09-14,1555.55,1560.0,1564.5,1546.6,1550.0,1548.55,1552.26,4879253,7573882023.65,152737,3748148,76.82,-0.0045000160714859,2.0,780.0,782.25,773.3,774.275,775.0,776.13,777.775,-0.004500016071485979,False,False,False
HDFCBANK,EQ,2021-09-15,1548.55,1535.0,1554.8,1535.0,1546.75,1546.8,1543.76,7411499,11441551323.5,196864,5419693,73.13,-0.001130089438507,2.0,767.5,777.4,767.5,773.4,773.375,771.88,774.275,-0.0011300894385070093,False,False,False
HDFCBANK,EQ,2021-09-16,1546.8,1537.75,1564.3,1536.3,1561.0,1559.95,1551.38,5130275,7958996358.25,158542,2478795,48.32,0.0085014222911818,2.0,768.875,782.15,768.15,779.975,780.5,775.69,773.4,0.008501422291181893,False,False,False
HDFCBANK,EQ,2021-09-17,1559.95,1569.0,1589.0,1559.2,1585.55,1582.15,1576.23,10249051,16154811176.7,203624,6160971,60.11,0.0142312253597871,2.0,784.5,794.5,779.6,791.075,792.775,788.115,779.975,0.014231225359787159,False,False,False
HDFCBANK,EQ,2021-09-20,1582.15,1564.0,1581.7,1558.0,1559.75,1559.85,1569.06,4390805,6889437483.3,144006,2618610,59.64,-0.0140947444932529,2.0,782.0,790.85,779.0,779.925,779.875,784.53,791.075,-0.014094744493252986,False,False,False
HDFCBANK,EQ,2021-09-21,1559.85,1562.0,1568.65,1528.95,1553.5,1551.95,1544.53,7387498,11410202963.4,162406,4642760,62.85,-0.0050645895438663,2.0,781.0,784.325,764.475,775.975,776.75,772.265,779.925,-0.005064589543866349,False,False,False
HDFCBANK,EQ,2021-09-22,1551.95,1549.0,1550.15,1530.0,1536.05,1533.7,1536.98,5291101,8132332795.9,204046,3043041,57.51,-0.011759399465189,2.0,774.5,775.075,765.0,766.85,768.025,768.49,775.975,-0.011759399465189002,False,False,False
HDFCBANK,EQ,2021-09-23,1533.7,1542.0,1572.0,1542.0,1571.6,1570.0,1561.26,6832152,10666787042.0,221318,4366722,63.91,0.0236682532437895,2.0,771.0,786.0,771.0,785.0,785.8,780.63,766.85,0.023668253243789517,False,False,False
HDFCBANK,EQ,2021-09-24,1570.0,1579.0,1607.95,1575.0,1599.5,1601.55,1593.03,10403351,16572894842.45,285125,6212213,59.71,0.0200955414012737,2.0,789.5,803.975,787.5,800.775,799.75,796.515,785.0,0.020095541401273787,False,False,False
HDFCBANK,EQ,2021-09-27,1601.55,1615.7,1635.5,1608.0,1625.0,1625.1,1626.52,8207731,13350052031.55,245375,5061617,61.67,0.0147045050107708,2.0,807.85,817.75,804.0,812.55,812.5,813.26,800.775,0.014704505010770808,False,False,False
