symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return,adjustment_factor_applied,adjusted_open_price,adjusted_high_price,adjusted_low_price,adjusted_close_price,adjusted_last_price,adjusted_average_price,adjusted_prev_close,adjusted_daily_return,corporate_action_date,raw_extreme_return,adjusted_extreme_return
ITC,EQ,2021-09-13,212.65,213.35,215.15,211.8,213.9,214.15,213.73,16043896,3429001681.4,114592,8147669,50.78,,1.0,213.35,215.15,211.8,214.15,213.9,213.73,212.65,,False,False,False
ITC,EQ,2021-09-14,214.15,214.9,217.25,214.2,216.75,216.1,216.03,19621849,4238975823.25,149992,9221721,47.0,0.0091057669857574,1.0,214.9,217.25,214.2,216.1,216.75,216.03,214.15,0.00910576698575749,False,False,False
ITC,EQ,2021-09-15,216.1,217.1,217.2,215.3,215.7,216.0,215.9,20248758,4371704280.7,103557,13749583,67.9,-0.000462748727441,1.0,217.1,217.2,215.3,216.0,215.7,215.9,216.1,-0.00046274872744100914,False,False,False
ITC,EQ,2021-09-16,216.0,216.95,233.65,216.3,230.3,230.75,229.26,149238901,34215026418.75,734612,44833384,30.04,0.0682870370370369,1.0,216.95,233.65,216.3,230.75,230.3,229.26,216.0,0.06828703703703698,False,False,False
ITC,EQ,2021-09-17,230.75,233.0,237.3,229.1,231.5,231.15,232.96,79501805,18521035212.55,406400,26808048,33.72,0.0017334777898159,1.0,233.0,237.3,229.1,231.15,231.5,232.96,230.75,0.0017334777898159182,False,False,False
ITC,EQ,2021-09-20,231.15,231.0,239.35,230.25,232.95,233.75,235.83,70390969,16600526835.4,419200,24057714,34.18,0.0112481072896386,1.0,231.0,239.35,230.25,233.75,232.95,235.83,231.15,0.011248107289638654,False,False,False
ITC,EQ,2021-09-21,233.75,234.95,242.45,231.7,241.55,241.5,237.79,56671832,13476219719.75,327928,19197880,33.88,0.0331550802139037,1.0,234.95,242.45,231.7,241.5,241.55,237.79,233.75,0.03315508021390379,False,False,False
ITC,EQ,2021-09-22,241.5,243.5,245.8,240.7,243.0,243.5,243.28,52621868,12802048327.1,309101,22171661,42.13,0.0082815734989647,1.0,243.5,245.8,240.7,243.5,243.0,243.28,241.5,0.008281573498964745,False,False,False
ITC,EQ,2021-09-23,243.5,245.0,245.6,241.7,242.35,242.5,243.18,21791090,5299228640.4,198020,10092922,46.32,-0.0041067761806981,1.0,245.0,245.6,241.7,242.5,242.35,243.18,243.5,-0.004106776180698102,False,False,False
ITC,EQ,2021-09-24,242.5,244.0,244.0,237.7,238.2,238.45,240.27,24823291,5964251168.4,210081,11708286,47.17,-0.0167010309278351,1.0,244.0,244.0,237.7,238.45,238.2,240.27,242.5,-0.016701030927835148,False,False,False
ITC,EQ,2021-09-27,238.45,239.8,241.85,235.5,238.5,238.7,238.63,22890540,5462469728.1,164828,8855963,38.69,0.0010484378276367,1.0,239.8,241.85,235.5,238.7,238.5,238.63,238.45,0.00104843782763675,False,False,False
ITC,EQ,2021-09-28,238.7,239.85,241.6,236.3,237.25,237.75,238.82,15713947,3752873734.75,126931,6473185,41.19,-0.0039798910766651,1.0,239.85,241.6,236.3,237.75,237.25,238.82,238.7,-0.003979891076665187,False,False,False
ITC,EQ,2021-09-29,237.75,236.0,241.4,235.7,237.85,238.1,238.18,15450046,3679856652.9,125680,6183100,40.02,0.0014721345951629,1.0,236.0,241.4,235.7,238.1,237.85,238.18,237.75,0.0014721345951629328,False,False,False
ITC,EQ,2021-09-30,238.1,239.9,240.4,235.25,235.8,236.15,237.68,16357902,3887886982.7,120162,8001445,48.91,-0.0081898362032758,1.0,239.9,240.4,235.25,236.15,235.8,237.68,238.1,-0.008189836203275846,False,False,False
ITC,EQ,2021-10-01,236.15,235.2,237.0,232.9,235.25,235.35,234.62,15956143,3743680334.05,136058,6563294,41.13,-0.003387677323735,1.0,235.2,237.0,232.9,235.35,235.25,234.62,236.15,-0.0033876773237350166,False,False,False
ITC,EQ,2021-10-04,235.35,236.0,238.35,235.4,236.6,236.6,236.93,10686552,2531930783.5,105551,4570937,42.77,0.0053112385808371,1.0,236.0,238.35,235.4,236.6,236.6,236.93,235.35,0.005311238580837152,False,False,False
ITC,EQ,2021-10-05,236.6,236.4,237.45,234.5,234.6,234.7,235.35,9223597,2170741557.95,94090,4699478,50.95,-0.0080304311073542,1.0,236.4,237.45,234.5,234.7,234.6,235.35,236.6,-0.008030431107354241,False,False,False
ITC,EQ,2021-10-06,234.7,234.8,236.4,230.6,230.9,231.25,232.89,17505160,4076718725.15,112565,9907202,56.6,-0.0146996165317425,1.0,234.8,236.4,230.6,231.25,230.9,232.89,234.7,-0.014699616531742565,False,False,False
ITC,EQ,2021-10-07,231.25,233.0,234.95,232.3,232.95,232.95,233.59,10371535,2422666147.55,85072,5157574,49.73,0.0073513513513512,1.0,233.0,234.95,232.3,232.95,232.95,233.59,231.25,0.007351351351351232,False,False,False
ITC,EQ,2021-10-08,232.95,234.75,234.8,231.2,231.9,231.7,232.63,9739240,2265638076.15,89186,4347984,44.64,-0.005365958360163,1.0,234.75,234.8,231.2,231.7,231.9,232.63,232.95,-0.00536595836016307,False,False,False
ITC,EQ,2021-10-11,231.7,232.0,239.5,231.7,238.2,238.05,236.17,21184428,5003054961.3,153853,9900712,46.74,0.0274061286145879,1.0,232.0,239.5,231.7,238.05,238.2,236.17,231.7,0.02740612861458791,False,False,False
ITC,EQ,2021-10-12,238.05,238.6,243.0,238.0,241.3,241.3,240.78,29222028,7036105158.75,205242,11646287,39.85,0.0136525939928586,1.0,238.6,243.0,238.0,241.3,241.3,240.78,238.05,0.013652593992858675,False,False,False
ITC,EQ,2021-10-13,241.3,242.55,250.9,240.15,250.9,249.2,245.44,50159625,12311287566.95,259485,23041573,45.94,0.0327393286365518,1.0,242.55,250.9,240.15,249.2,250.9,245.44,241.3,0.03273932863655182,False,False,False
ITC,EQ,2021-10-14,249.2,253.25,261.85,250.35,256.3,256.55,256.08,85406902,21871243335.1,447958,35651835,41.74,0.029494382022472,1.0,253.25,261.85,250.35,256.55,256.3,256.08,249.2,0.02949438202247201,False,False,False
ITC,EQ,2021-10-18,256.55,261.0,265.3,257.35,261.8,262.55,261.24,60292901,15751216295.4,318410,31847322,52.82,0.0233872539465991,1.0,261.0,265.3,257.35,262.55,261.8,261.24,256.55,0.02338725394659913,False,False,False
ITC,EQ,2021-10-19,262.55,261.4,262.55,245.05,246.1,245.95,251.38,59061766,14847106587.2,445769,24569236,41.6,-0.0632260521805371,1.0,261.4,262.55,245.05,245.95,246.1,251.38,262.55,-0.06322605218053712,False,False,False
ITC,EQ,2021-10-20,245.95,245.95,248.5,242.35,246.5,246.6,245.66,47822165,11747933319.0,230234,23788245,49.74,0.0026428135799958,1.0,245.95,248.5,242.35,246.6,246.5,245.66,245.95,0.0026428135799958508,False,False,False
ITC,EQ,2021-10-21,246.6,248.0,248.35,243.1,244.7,244.7,244.77,22518727,5511975287.3,143909,11701284,51.96,-0.0077047850770478,1.0,248.0,248.35,243.1,244.7,244.7,244.77,246.6,-0.00770478507704786,False,False,False
ITC,EQ,2021-10-22,244.7,244.7,245.8,233.7,236.5,236.6,238.65,35537151,8480766476.85,236176,17009316,47.86,-0.03310175725378,1.0,244.7,245.8,233.7,236.6,236.5,238.65,244.7,-0.03310175725378006,False,False,False
ITC,EQ,2021-10-25,236.6,234.1,236.65,230.5,233.0,233.4,233.82,22333919,5222067171.6,159014,10292852,46.09,-0.0135249366018596,1.0,234.1,236.65,230.5,233.4,233.0,233.82,236.6,-0.013524936601859605,False,False,False
ITC,EQ,2021-10-26,233.4,234.1,239.0,232.6,238.75,236.7,235.05,18934170,4450564038.95,150678,8686277,45.88,0.0141388174807197,1.0,234.1,239.0,232.6,236.7,238.75,235.05,233.4,0.014138817480719768,False,False,False
ITC,EQ,2021-10-27,236.7,240.25,241.3,236.2,238.95,238.45,239.14,25911499,6196466843.5,178935,7962038,30.73,0.0073933248838191,1.0,240.25,241.3,236.2,238.45,238.95,239.14,236.7,0.007393324883819163,False,False,False
ITC,EQ,2021-10-28,238.45,235.1,235.95,224.15,225.15,225.1,228.88,46282465,10593306757.35,374260,21023555,45.42,-0.0559865799958062,1.0,235.1,235.95,224.15,225.1,225.15,228.88,238.45,-0.05598657999580625,False,False,False
ITC,EQ,2021-10-29,225.1,225.0,228.25,222.3,223.45,223.2,225.09,26642108,5996799627.85,209691,12629129,47.4,-0.0084406930253221,1.0,225.0,228.25,222.3,223.2,223.45,225.09,225.1,-0.008440693025322132,False,False,False
ITC,EQ,2021-11-01,223.2,224.15,227.55,222.5,226.8,226.85,224.82,23197539,5215171128.7,136114,14254678,61.45,0.0163530465949821,1.0,224.15,227.55,222.5,226.85,226.8,224.82,223.2,0.016353046594982157,False,False,False
ITC,EQ,2021-11-02,226.85,228.0,229.25,224.5,226.0,225.6,226.05,14343859,3242359657.15,120551,6928470,48.3,-0.0055102490632576,1.0,228.0,229.25,224.5,225.6,226.0,226.05,226.85,-0.0055102490632576995,False,False,False
ITC,EQ,2021-11-03,225.6,226.0,226.85,221.7,222.75,222.45,223.82,17843327,3993623454.2,119495,11487403,64.38,-0.0139627659574468,1.0,226.0,226.85,221.7,222.45,222.75,223.82,225.6,-0.013962765957446832,False,False,False
ITC,EQ,2021-11-04,222.45,224.85,227.3,224.0,227.15,226.55,225.88,7024796,1586768036.2,106228,4126838,58.75,0.018431108114183,1.0,224.85,227.3,224.0,226.55,227.15,225.88,222.45,0.018431108114183026,False,False,False
ITC,EQ,2021-11-08,226.55,229.7,230.7,225.7,229.65,229.8,228.22,20270558,4626147774.4,168607,9872907,48.71,0.0143456190686381,1.0,229.7,230.7,225.7,229.8,229.65,228.22,226.55,0.014345619068638182,False,False,False
