"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BAJFINANCE","EQ","11-Sep-2026","1,043.50","1,031.00","1,035.00","1,015.10","1,034.50","1,034.50","1,027.92","54,11,299","5,56,23,60,402.70","1,29,025","30,01,489","64.25"
"BAJFINANCE","EQ","10-Sep-2026","1,039.30","1,042.50","1,048.70","1,036.50","1,043.50","1,043.50","1,042.81","39,02,988","4,07,00,59,791.90","88,720","25,42,676","65.15"
"BAJFINANCE","EQ","09-Sep-2026","1,054.10","1,045.10","1,060.10","1,038.50","1,039.30","1,039.30","1,047.50","92,44,698","9,68,37,76,924.70","1,58,288","62,69,747","67.82"
"BAJFINANCE","EQ","08-Sep-2026","1,060.00","1,058.80","1,059.60","1,050.00","1,054.10","1,054.10","1,054.53","36,08,327","3,80,51,05,423.60","1,24,780","24,53,676","68.00"
"BAJFINANCE","EQ","07-Sep-2026","1,060.50","1,064.00","1,070.00","1,054.30","1,060.00","1,060.00","1,059.16","35,86,860","3,79,90,51,175.20","84,407","19,34,962","53.95"
"BAJFINANCE","EQ","04-Sep-2026","1,049.00","1,050.60","1,063.60","1,049.70","1,060.50","1,060.50","1,056.06","59,52,048","6,28,56,95,160.10","1,04,933","43,87,056","73.71"
"BAJFINANCE","EQ","03-Sep-2026","1,055.90","1,057.10","1,059.70","1,043.20","1,049.00","1,049.00","1,050.23","66,26,755","6,95,95,86,251.20","86,333","44,91,697","67.78"
"BAJFINANCE","EQ","02-Sep-2026","1,053.90","1,044.20","1,061.00","1,034.80","1,055.90","1,055.90","1,046.45","62,34,288","6,52,38,63,818.20","1,33,068","41,60,048","66.73"
"BAJFINANCE","EQ","01-Sep-2026","1,057.00","1,065.00","1,067.00","1,047.00","1,053.90","1,053.90","1,054.15","48,13,301","5,07,39,61,226.30","1,01,532","30,14,822","62.64"
"BAJFINANCE","EQ","31-Aug-2026","1,079.90","1,069.40","1,073.00","1,052.00","1,057.00","1,057.00","1,059.87","70,02,192","7,42,14,06,554.60","1,02,457","49,97,775","71.37"
"BAJFINANCE","EQ","28-Aug-2026","1,083.00","1,065.70","1,081.50","1,065.70","1,079.90","1,079.90","1,074.47","45,54,311","4,89,34,65,405.20","72,226","28,22,874","61.98"
"BAJFINANCE","EQ","27-Aug-2026","1,085.00","1,090.00","1,107.00","1,083.00","1,083.00","1,083.00","1,091.53","52,20,239","5,69,80,67,605.60","1,05,604","32,03,467","61.37"
"BAJFINANCE","EQ","26-Aug-2026","1,087.40","1,083.30","1,095.00","1,082.40","1,085.00","1,085.00","1,087.79","32,34,877","3,51,88,59,762.00","85,806","19,11,489","59.09"
"BAJFINANCE","EQ","25-Aug-2026","1,077.00","1,077.00","1,087.40","1,066.30","1,087.40","1,087.40","1,078.39","27,70,499","2,98,76,76,408.80","73,198","15,32,268","55.31"
"BAJFINANCE","EQ","24-Aug-2026","1,095.00","1,086.00","1,094.90","1,076.90","1,077.00","1,077.00","1,084.65","43,42,556","4,71,01,47,245.70","1,21,593","31,93,243","73.53"
"BAJFINANCE","EQ","21-Aug-2026","1,095.00","1,105.40","1,105.50","1,090.60","1,095.00","1,095.00","1,095.69","30,42,594","3,33,37,31,561.40","94,415","18,78,096","61.73"
"BAJFINANCE","EQ","20-Aug-2026","1,080.20","1,089.70","1,102.30","1,086.30","1,095.00","1,095.00","1,096.74","67,41,475","7,39,36,30,932.50","1,87,033","44,86,388","66.55"
"BAJFINANCE","EQ","19-Aug-2026","1,094.30","1,093.90","1,093.90","1,076.40","1,080.20","1,080.20","1,081.41","28,77,930","3,11,22,19,418.30","85,071","16,55,254","57.52"
"BAJFINANCE","EQ","18-Aug-2026","1,089.30","1,088.60","1,100.00","1,087.60","1,094.30","1,094.30","1,094.85","33,74,018","3,69,40,43,121.60","94,399","20,95,607","62.11"
"BAJFINANCE","EQ","17-Aug-2026","1,087.00","1,080.00","1,100.40","1,078.80","1,089.30","1,089.30","1,090.82","22,95,675","2,50,41,64,050.10","46,312","12,49,700","54.44"
"BAJFINANCE","EQ","14-Aug-2026","1,090.80","1,090.80","1,098.50","1,085.20","1,087.00","1,087.00","1,091.14","42,25,781","4,61,09,06,228.10","59,559","27,34,545","64.71"
"BAJFINANCE","EQ","13-Aug-2026","1,094.20","1,095.00","1,095.30","1,083.00","1,090.80","1,090.80","1,088.14","24,05,186","2,61,71,73,590.40","75,100","12,67,952","52.72"
"BAJFINANCE","EQ","12-Aug-2026","1,093.30","1,093.00","1,094.70","1,080.00","1,094.20","1,094.20","1,086.16","70,54,842","7,66,26,90,308.80","1,16,314","50,79,946","72.01"
"BAJFINANCE","EQ","11-Aug-2026","1,102.20","1,098.00","1,101.50","1,086.30","1,093.30","1,093.30","1,095.06","65,23,358","7,14,34,61,248.90","1,11,469","40,72,953","62.44"
"BAJFINANCE","EQ","10-Aug-2026","1,078.00","1,078.00","1,106.10","1,070.80","1,102.20","1,102.20","1,091.38","73,03,098","7,97,04,84,344.50","1,06,103","46,05,173","63.06"
"BAJFINANCE","EQ","07-Aug-2026","1,144.80","1,113.00","1,113.00","1,074.50","1,078.00","1,078.00","1,090.24","1,56,14,001","17,02,30,67,677.20","3,06,196","87,07,120","55.76"
"BAJFINANCE","EQ","06-Aug-2026","1,158.80","1,155.50","1,160.20","1,144.60","1,144.80","1,144.80","1,152.86","64,72,397","7,46,17,75,358.80","1,25,290","41,07,380","63.46"
"BAJFINANCE","EQ","05-Aug-2026","1,149.00","1,152.00","1,166.00","1,145.10","1,158.80","1,158.80","1,155.11","51,54,683","5,95,42,36,165.00","1,17,854","29,78,764","57.79"
"BAJFINANCE","EQ","04-Aug-2026","1,153.00","1,164.00","1,164.00","1,139.50","1,149.00","1,149.00","1,147.94","94,37,990","10,83,42,16,469.60","2,14,865","60,11,462","63.69"
"BAJFINANCE","EQ","03-Aug-2026","1,141.20","1,176.30","1,176.40","1,140.20","1,153.00","1,153.00","1,158.72","1,37,58,012","15,94,16,54,317.20","2,22,678","82,01,150","59.61"
"BAJFINANCE","EQ","31-Jul-2026","1,053.50","1,095.00","1,151.50","1,083.60","1,141.20","1,141.20","1,123.50","4,08,14,590","45,85,53,66,893.80","5,17,927","2,37,74,041","58.25"
"BAJFINANCE","EQ","30-Jul-2026","1,054.40","1,046.00","1,068.00","1,035.10","1,058.00","1,053.50","1,048.82","98,66,564","10,34,82,40,044.70","2,12,790","51,77,750","52.48"
"BAJFINANCE","EQ","29-Jul-2026","1,048.40","1,056.00","1,065.90","1,048.40","1,050.10","1,054.40","1,056.62","64,44,368","6,80,92,67,713.20","1,17,856","41,96,260","65.12"
"BAJFINANCE","EQ","28-Jul-2026","1,048.30","1,049.00","1,055.00","1,042.40","1,049.80","1,048.40","1,047.63","47,26,447","4,95,15,72,335.20","1,14,060","26,74,542","56.59"
"BAJFINANCE","EQ","27-Jul-2026","1,012.80","1,026.70","1,050.00","1,026.60","1,049.00","1,048.30","1,042.28","76,10,916","7,93,27,08,873.40","1,65,999","48,61,021","63.87"
"BAJFINANCE","EQ","24-Jul-2026","1,039.80","1,027.30","1,030.20","1,001.30","1,019.00","1,012.80","1,012.22","1,84,16,962","18,64,19,55,484.60","1,45,678","1,23,66,161","67.15"
"BAJFINANCE","EQ","23-Jul-2026","1,060.30","1,053.30","1,061.20","1,036.50","1,040.00","1,039.80","1,047.21","80,16,651","8,39,50,80,371.60","1,58,865","55,22,921","68.89"
"BAJFINANCE","EQ","22-Jul-2026","1,069.20","1,064.00","1,070.60","1,056.10","1,056.10","1,060.30","1,061.21","67,57,716","7,17,13,23,094.80","1,18,249","49,29,178","72.94"
"BAJFINANCE","EQ","21-Jul-2026","1,064.00","1,064.00","1,074.40","1,060.90","1,071.00","1,069.20","1,068.41","69,70,658","7,44,75,37,610.40","1,33,957","46,60,828","66.86"
"BAJFINANCE","EQ","20-Jul-2026","1,056.30","1,057.00","1,067.70","1,038.20","1,061.40","1,064.00","1,050.64","93,48,760","9,82,21,67,258.20","1,02,171","57,03,734","61.01"
"BAJFINANCE","EQ","17-Jul-2026","1,037.60","1,044.90","1,058.50","1,037.60","1,055.30","1,056.30","1,050.86","1,28,82,360","13,53,75,44,921.60","1,50,115","91,01,992","70.65"
"BAJFINANCE","EQ","16-Jul-2026","1,021.30","1,024.00","1,042.40","1,021.20","1,036.50","1,037.60","1,035.00","90,79,076","9,39,68,79,163.20","1,24,360","65,98,655","72.68"
"BAJFINANCE","EQ","15-Jul-2026","1,006.60","1,006.60","1,037.30","1,006.60","1,020.90","1,021.30","1,024.62","55,38,356","5,67,47,20,686.70","1,59,723","30,60,623","55.26"
"BAJFINANCE","EQ","14-Jul-2026","1,022.60","1,007.00","1,022.00","995.20","1,007.00","1,006.60","1,004.57","64,58,393","6,48,79,00,432.50","1,38,561","30,51,135","47.24"
"BAJFINANCE","EQ","13-Jul-2026","1,020.50","1,014.00","1,028.00","1,003.70","1,023.00","1,022.60","1,017.82","48,74,070","4,96,09,12,193.40","1,45,609","27,82,114","57.08"
"BAJFINANCE","EQ","10-Jul-2026","1,003.80","1,010.10","1,023.90","1,004.20","1,023.00","1,020.50","1,014.69","70,39,305","7,14,27,24,553.90","1,68,873","46,50,437","66.06"
"BAJFINANCE","EQ","09-Jul-2026","1,010.40","1,000.00","1,013.50","994.10","1,002.90","1,003.80","1,004.01","1,17,12,515","11,75,94,41,414.30","1,69,265","78,45,943","66.99"
"BAJFINANCE","EQ","08-Jul-2026","1,042.50","1,025.00","1,034.70","1,004.10","1,011.20","1,010.40","1,020.11","83,13,859","8,48,10,26,807.10","2,02,893","49,56,701","59.62"
"BAJFINANCE","EQ","07-Jul-2026","1,029.10","1,024.00","1,052.90","1,024.00","1,039.40","1,042.50","1,038.89","91,01,171","9,45,51,33,736.20","1,97,563","56,36,490","61.93"
"BAJFINANCE","EQ","06-Jul-2026","1,031.40","1,040.00","1,040.20","1,024.80","1,028.00","1,029.10","1,031.28","48,19,952","4,97,07,27,807.70","1,70,207","32,57,833","67.59"
"BAJFINANCE","EQ","03-Jul-2026","1,018.40","1,035.00","1,040.00","1,017.60","1,031.40","1,031.40","1,031.74","93,99,193","9,69,75,60,783.60","2,94,639","49,49,305","52.66"
"BAJFINANCE","EQ","02-Jul-2026","1,014.90","994.70","1,025.70","993.40","1,020.00","1,018.40","1,014.59","81,68,339","8,28,74,81,250.10","1,98,144","44,85,878","54.92"
"BAJFINANCE","EQ","01-Jul-2026","1,004.75","1,000.40","1,025.40","998.90","1,014.00","1,014.90","1,013.47","68,34,299","6,92,63,40,801.20","1,76,056","39,32,638","57.54"
"BAJFINANCE","EQ","30-Jun-2026","982.05","986.90","1,010.95","977.70","1,007.00","1,004.75","999.62","1,24,45,420","12,44,07,31,055.40","2,61,356","71,84,169","57.73"
"BAJFINANCE","EQ","29-Jun-2026","980.40","975.30","992.30","975.30","987.95","982.05","983.72","1,98,75,760","19,55,22,32,138.55","2,87,799","1,45,00,590","72.96"
"BAJFINANCE","EQ","25-Jun-2026","990.95","996.20","1,005.60","978.90","981.40","980.40","991.36","1,28,07,092","12,69,63,91,509.10","2,41,420","81,71,189","63.80"
"BAJFINANCE","EQ","24-Jun-2026","962.40","952.40","993.90","952.40","990.00","990.95","982.34","98,73,777","9,69,93,66,769.40","2,39,866","60,03,879","60.81"
"BAJFINANCE","BL","24-Jun-2026","933.50","962.40","962.40","962.40","962.40","962.40","962.40","3,67,127","35,33,23,024.80","1","-","-"
"BAJFINANCE","EQ","23-Jun-2026","968.30","968.30","977.70","960.50","962.10","962.40","967.33","82,02,516","7,93,45,03,787.85","1,21,102","52,83,028","64.41"
"BAJFINANCE","EQ","22-Jun-2026","961.80","966.05","972.95","961.55","967.60","968.30","966.87","56,80,845","5,49,26,61,870.20","1,21,358","34,40,597","60.56"
"BAJFINANCE","EQ","19-Jun-2026","958.85","954.05","971.70","953.25","965.00","961.80","962.57","1,29,41,776","12,45,73,30,966.70","1,58,695","98,76,245","76.31"
"BAJFINANCE","EQ","18-Jun-2026","958.40","958.35","960.95","948.00","958.70","958.85","955.43","57,50,456","5,49,41,61,984.15","95,793","37,43,638","65.10"
"BAJFINANCE","EQ","17-Jun-2026","959.65","955.10","961.80","951.55","958.50","958.40","957.55","56,82,977","5,44,17,36,936.85","1,18,784","36,61,199","64.42"
"BAJFINANCE","EQ","16-Jun-2026","942.30","946.00","963.90","946.00","959.50","959.65","958.51","93,35,988","8,94,86,07,798.25","1,50,260","59,20,940","63.42"
"BAJFINANCE","EQ","15-Jun-2026","918.30","942.00","959.00","939.00","940.95","942.30","948.41","1,19,89,428","11,37,08,68,434.95","2,61,090","69,96,001","58.35"
"BAJFINANCE","EQ","12-Jun-2026","870.55","881.20","921.00","881.10","920.00","918.30","900.97","1,17,29,668","10,56,80,76,509.30","1,38,258","69,16,631","58.97"
