"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","11-Sep-2026","1,384.50","1,371.60","1,389.00","1,367.60","1,379.30","1,379.30","1,379.59","70,64,417","9,74,60,29,753.50","1,19,432","40,97,434","63.26"
"ICICIBANK","EQ","10-Sep-2026","1,389.10","1,385.90","1,393.00","1,373.90","1,384.50","1,384.50","1,381.80","1,05,80,641","14,62,03,37,290.60","1,54,389","75,26,499","71.13"
"ICICIBANK","EQ","09-Sep-2026","1,399.40","1,395.90","1,402.50","1,385.50","1,389.10","1,389.10","1,392.76","1,42,29,080","19,81,76,81,421.50","1,51,758","1,00,68,827","70.76"
"ICICIBANK","EQ","08-Sep-2026","1,427.50","1,424.00","1,424.90","1,396.30","1,399.40","1,399.40","1,403.10","1,21,23,411","17,01,03,02,757.70","3,85,562","80,57,952","66.47"
"ICICIBANK","EQ","07-Sep-2026","1,423.20","1,428.00","1,434.40","1,422.60","1,427.50","1,427.50","1,426.82","80,35,111","11,46,46,82,346.30","1,26,269","51,90,287","64.60"
"ICICIBANK","EQ","04-Sep-2026","1,430.00","1,432.10","1,438.30","1,421.40","1,423.20","1,423.20","1,429.20","66,93,889","9,56,68,74,557.40","1,00,896","45,37,805","67.79"
"ICICIBANK","EQ","03-Sep-2026","1,426.50","1,438.30","1,452.00","1,430.00","1,430.00","1,430.00","1,440.14","1,05,03,351","15,12,62,98,838.40","1,67,924","59,67,194","56.81"
"ICICIBANK","EQ","02-Sep-2026","1,438.00","1,425.10","1,436.00","1,420.70","1,426.50","1,426.50","1,426.34","85,15,824","12,14,64,50,397.70","1,48,174","57,24,353","67.22"
"ICICIBANK","EQ","01-Sep-2026","1,454.00","1,442.90","1,446.70","1,422.80","1,438.00","1,438.00","1,432.70","1,06,27,608","15,22,61,97,713.10","1,43,205","45,30,058","42.63"
"ICICIBANK","EQ","31-Aug-2026","1,422.80","1,422.80","1,454.00","1,419.00","1,454.00","1,454.00","1,435.85","1,53,31,697","22,01,40,09,456.30","1,84,414","1,19,93,976","78.23"
"ICICIBANK","EQ","28-Aug-2026","1,443.00","1,435.00","1,439.80","1,418.90","1,422.80","1,422.80","1,427.61","86,25,738","12,31,41,80,817.70","87,869","52,11,279","60.42"
"ICICIBANK","EQ","27-Aug-2026","1,430.00","1,445.00","1,453.80","1,433.10","1,443.00","1,443.00","1,444.93","1,15,39,716","16,67,40,63,062.00","1,93,417","62,60,117","54.25"
"ICICIBANK","EQ","26-Aug-2026","1,422.70","1,423.10","1,446.00","1,423.10","1,430.00","1,430.00","1,437.40","41,77,066","6,00,41,20,360.60","87,376","22,52,563","53.93"
"ICICIBANK","EQ","25-Aug-2026","1,415.00","1,408.00","1,424.90","1,408.00","1,422.70","1,422.70","1,420.44","79,83,249","11,33,97,58,033.50","1,06,893","28,25,788","35.40"
"ICICIBANK","EQ","24-Aug-2026","1,420.00","1,420.50","1,425.50","1,408.70","1,415.00","1,415.00","1,415.58","53,07,113","7,51,26,41,856.40","1,34,604","28,25,622","53.24"
"ICICIBANK","EQ","21-Aug-2026","1,411.90","1,417.00","1,420.00","1,411.20","1,420.00","1,420.00","1,417.20","45,65,280","6,46,99,28,366.10","1,00,376","28,95,268","63.42"
"ICICIBANK","EQ","20-Aug-2026","1,402.00","1,407.80","1,413.00","1,403.30","1,411.90","1,411.90","1,408.57","84,25,049","11,86,72,75,973.20","1,08,431","59,69,067","70.85"
"ICICIBANK","EQ","19-Aug-2026","1,412.00","1,412.00","1,416.00","1,391.50","1,402.00","1,402.00","1,398.73","1,03,04,210","14,41,28,44,395.90","1,33,658","71,30,460","69.20"
"ICICIBANK","EQ","18-Aug-2026","1,415.30","1,410.00","1,416.60","1,406.30","1,412.00","1,412.00","1,410.79","83,45,198","11,77,32,83,117.60","1,16,562","46,67,622","55.93"
"ICICIBANK","EQ","17-Aug-2026","1,417.00","1,418.00","1,423.60","1,407.00","1,415.30","1,415.30","1,416.27","56,05,603","7,93,90,52,356.40","1,06,272","31,96,498","57.02"
"ICICIBANK","EQ","14-Aug-2026","1,406.80","1,403.00","1,417.80","1,401.00","1,417.00","1,417.00","1,409.86","60,97,934","8,59,72,21,380.50","1,18,817","38,43,826","63.03"
"ICICIBANK","EQ","13-Aug-2026","1,431.70","1,429.00","1,429.00","1,406.40","1,406.80","1,406.80","1,411.89","1,14,08,206","16,10,70,93,271.20","1,61,325","70,32,860","61.65"
"ICICIBANK","EQ","12-Aug-2026","1,429.60","1,429.40","1,435.00","1,418.60","1,431.70","1,431.70","1,425.70","82,01,733","11,69,32,09,005.10","1,31,055","45,00,597","54.87"
"ICICIBANK","EQ","11-Aug-2026","1,431.80","1,432.10","1,434.00","1,412.20","1,429.60","1,429.60","1,421.41","1,04,71,914","14,88,48,71,301.50","2,18,784","52,57,604","50.21"
"ICICIBANK","EQ","10-Aug-2026","1,421.00","1,428.10","1,441.90","1,415.50","1,431.80","1,431.80","1,426.20","1,27,49,354","18,18,31,53,808.00","1,42,995","86,08,372","67.52"
"ICICIBANK","EQ","07-Aug-2026","1,457.50","1,451.00","1,455.00","1,418.20","1,421.00","1,421.00","1,433.17","1,43,95,789","20,63,15,53,752.10","1,55,386","1,00,66,071","69.92"
"ICICIBANK","EQ","06-Aug-2026","1,450.10","1,460.00","1,460.00","1,448.30","1,457.50","1,457.50","1,455.71","1,49,54,726","21,76,97,66,618.40","1,91,250","88,26,942","59.02"
"ICICIBANK","EQ","05-Aug-2026","1,454.60","1,454.60","1,454.60","1,431.20","1,450.10","1,450.10","1,442.50","1,17,23,296","16,91,08,29,557.20","1,69,434","58,81,584","50.17"
"ICICIBANK","EQ","04-Aug-2026","1,460.00","1,452.00","1,454.60","1,430.80","1,454.60","1,454.60","1,441.86","1,14,58,963","16,52,22,16,613.90","1,41,775","55,22,328","48.19"
"ICICIBANK","EQ","03-Aug-2026","1,435.40","1,442.00","1,460.00","1,433.00","1,460.00","1,460.00","1,445.87","77,06,747","11,14,29,59,295.90","1,85,170","52,15,640","67.68"
"ICICIBANK","EQ","31-Jul-2026","1,433.90","1,434.30","1,441.90","1,431.40","1,433.90","1,435.40","1,434.95","87,52,440","12,55,93,02,182.90","1,00,099","58,61,291","66.97"
"ICICIBANK","EQ","30-Jul-2026","1,437.90","1,431.10","1,442.20","1,422.60","1,430.00","1,433.90","1,430.78","1,41,41,173","20,23,29,71,620.00","1,80,054","64,25,371","45.44"
"ICICIBANK","EQ","29-Jul-2026","1,430.80","1,442.50","1,448.50","1,428.50","1,437.80","1,437.90","1,438.32","1,08,56,166","15,61,46,04,535.70","1,55,779","73,81,756","68.00"
"ICICIBANK","EQ","28-Jul-2026","1,445.70","1,442.30","1,445.90","1,417.60","1,417.60","1,430.80","1,431.30","1,94,86,209","27,89,07,07,962.20","2,45,191","1,03,05,281","52.88"
