"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","11-Sep-2026","1,036.50","1,032.00","1,047.30","1,029.70","1,037.70","1,037.70","1,039.69","61,68,088","6,41,29,29,953.10","1,45,206","31,09,903","56.59"
"INFY","EQ","10-Sep-2026","1,035.00","1,039.60","1,046.60","1,027.30","1,036.50","1,036.50","1,035.09","89,98,529","9,31,42,45,718.70","1,32,817","52,50,417","58.35"
"INFY","EQ","09-Sep-2026","1,082.00","1,059.00","1,059.00","1,026.50","1,035.00","1,035.00","1,038.28","1,35,30,457","14,04,83,85,874.80","2,48,758","80,43,809","59.45"
"INFY","EQ","08-Sep-2026","1,087.50","1,095.00","1,095.00","1,078.90","1,082.00","1,082.00","1,084.29","62,69,037","6,79,74,33,881.60","1,51,673","36,27,483","57.86"
"INFY","EQ","07-Sep-2026","1,130.00","1,109.50","1,109.90","1,085.00","1,087.50","1,087.50","1,094.17","76,68,346","8,39,04,99,184.00","1,95,551","37,94,091","49.48"
"INFY","EQ","04-Sep-2026","1,130.30","1,133.00","1,146.70","1,125.40","1,130.00","1,130.00","1,132.09","58,81,388","6,65,82,77,427.90","1,09,162","38,29,599","65.11"
"INFY","EQ","03-Sep-2026","1,140.00","1,144.00","1,144.00","1,122.50","1,130.30","1,130.30","1,130.60","57,86,250","6,54,19,60,761.60","1,72,536","30,86,150","53.34"
"INFY","EQ","02-Sep-2026","1,156.00","1,137.70","1,147.80","1,118.60","1,140.00","1,140.00","1,134.99","85,64,358","9,72,05,00,603.10","1,92,466","46,96,289","54.84"
"INFY","EQ","01-Sep-2026","1,133.80","1,128.00","1,156.00","1,125.60","1,156.00","1,156.00","1,145.40","1,35,16,123","15,48,13,78,653.40","1,63,276","59,09,583","43.72"
"INFY","EQ","31-Aug-2026","1,144.00","1,138.60","1,143.90","1,111.10","1,133.80","1,133.80","1,125.02","88,08,120","9,90,93,13,175.80","1,18,949","58,22,176","66.10"
"INFY","EQ","28-Aug-2026","1,110.80","1,123.60","1,145.00","1,123.30","1,144.00","1,144.00","1,139.38","96,21,969","10,96,30,88,036.20","1,47,819","59,05,963","61.38"
"INFY","EQ","27-Aug-2026","1,120.00","1,120.00","1,130.70","1,107.20","1,110.80","1,110.80","1,112.52","69,33,998","7,71,41,83,978.30","1,32,760","37,39,281","53.93"
"INFY","EQ","26-Aug-2026","1,144.00","1,142.00","1,142.00","1,118.30","1,120.00","1,120.00","1,125.69","63,23,984","7,11,88,76,913.10","88,562","35,70,273","56.46"
"INFY","EQ","25-Aug-2026","1,130.00","1,132.00","1,144.00","1,119.90","1,144.00","1,144.00","1,126.97","81,21,237","9,15,23,54,371.60","1,30,691","53,21,320","65.52"
"INFY","EQ","24-Aug-2026","1,121.00","1,126.50","1,144.50","1,122.00","1,130.00","1,130.00","1,133.16","85,65,354","9,70,59,45,957.70","1,70,563","46,44,257","54.22"
"INFY","EQ","21-Aug-2026","1,130.00","1,133.00","1,133.50","1,118.00","1,121.00","1,121.00","1,126.04","60,94,967","6,86,31,58,941.30","1,20,734","37,89,460","62.17"
"INFY","EQ","20-Aug-2026","1,119.80","1,143.00","1,144.70","1,125.70","1,130.00","1,130.00","1,134.18","85,59,841","9,70,84,37,176.30","1,70,960","42,01,639","49.09"
"INFY","EQ","19-Aug-2026","1,115.00","1,125.60","1,134.70","1,113.80","1,119.80","1,119.80","1,120.37","84,08,573","9,42,07,46,982.00","2,44,109","53,74,031","63.91"
"INFY","EQ","18-Aug-2026","1,139.90","1,124.50","1,131.90","1,112.50","1,115.00","1,115.00","1,116.78","88,51,110","9,88,47,51,133.50","1,97,181","53,21,015","60.12"
"INFY","EQ","17-Aug-2026","1,169.20","1,163.90","1,166.50","1,129.70","1,139.90","1,139.90","1,142.87","58,17,153","6,64,82,63,350.20","1,47,213","28,49,720","48.99"
"INFY","EQ","14-Aug-2026","1,175.00","1,170.40","1,174.10","1,158.90","1,169.20","1,169.20","1,166.93","58,44,763","6,82,04,53,891.50","1,36,821","34,93,653","59.77"
"INFY","EQ","13-Aug-2026","1,176.10","1,170.00","1,175.00","1,157.00","1,175.00","1,175.00","1,166.54","62,34,215","7,27,24,56,244.70","1,25,625","33,69,872","54.05"
"INFY","EQ","12-Aug-2026","1,190.70","1,185.60","1,190.40","1,163.30","1,176.10","1,176.10","1,173.38","75,29,777","8,83,52,93,993.20","1,71,090","45,13,205","59.94"
"INFY","EQ","11-Aug-2026","1,183.00","1,188.00","1,193.50","1,182.00","1,190.70","1,190.70","1,188.94","1,01,60,091","12,07,97,53,116.30","1,69,719","57,03,511","56.14"
"INFY","EQ","10-Aug-2026","1,175.10","1,178.10","1,195.00","1,175.20","1,183.00","1,183.00","1,185.17","93,77,001","11,11,33,17,655.60","1,58,965","49,63,541","52.93"
"INFY","EQ","07-Aug-2026","1,165.00","1,160.00","1,183.00","1,155.60","1,175.10","1,175.10","1,175.23","75,81,410","8,90,98,96,939.80","1,76,650","41,82,909","55.17"
"INFY","EQ","06-Aug-2026","1,174.00","1,174.10","1,185.80","1,163.00","1,165.00","1,165.00","1,169.30","85,21,064","9,96,37,00,971.80","1,75,674","43,55,569","51.12"
"INFY","EQ","05-Aug-2026","1,167.50","1,174.70","1,177.50","1,162.30","1,174.00","1,174.00","1,168.01","99,64,155","11,63,82,59,746.10","1,32,200","51,86,041","52.05"
"INFY","EQ","04-Aug-2026","1,180.00","1,168.00","1,175.70","1,153.30","1,167.50","1,167.50","1,160.52","92,43,589","10,72,74,10,174.00","1,30,401","50,31,857","54.44"
"INFY","EQ","03-Aug-2026","1,130.10","1,145.10","1,180.00","1,138.10","1,180.00","1,180.00","1,160.88","85,82,270","9,96,29,89,189.50","1,57,993","42,22,831","49.20"
"INFY","EQ","31-Jul-2026","1,155.10","1,118.90","1,139.30","1,107.20","1,129.90","1,130.10","1,128.12","1,43,67,075","16,20,77,71,804.10","2,71,437","70,32,188","48.95"
"INFY","EQ","30-Jul-2026","1,155.60","1,168.00","1,187.70","1,151.30","1,155.00","1,155.10","1,173.03","2,26,30,218","26,54,58,97,058.20","4,13,605","1,24,57,743","55.05"
"INFY","EQ","29-Jul-2026","1,105.70","1,147.00","1,164.50","1,128.40","1,153.50","1,155.60","1,152.38","3,44,00,369","39,64,21,72,401.80","4,59,638","2,01,31,710","58.52"
"INFY","EQ","28-Jul-2026","1,079.20","1,097.00","1,118.50","1,097.00","1,105.00","1,105.70","1,108.56","2,81,00,895","31,15,15,07,286.70","3,16,063","1,65,12,178","58.76"
"INFY","EQ","27-Jul-2026","1,040.90","1,065.00","1,082.00","1,057.40","1,078.30","1,079.20","1,075.47","1,59,56,349","17,16,05,07,472.60","2,41,917","83,71,338","52.46"
"INFY","EQ","24-Jul-2026","1,047.40","1,028.00","1,043.40","1,013.90","1,039.00","1,040.90","1,030.11","2,90,36,900","29,91,12,99,063.80","3,90,894","1,60,78,498","55.37"
"INFY","EQ","23-Jul-2026","1,052.10","1,046.90","1,058.50","1,032.00","1,052.90","1,047.40","1,045.50","1,37,94,578","14,42,22,43,163.20","2,12,403","71,35,991","51.73"
"INFY","EQ","22-Jul-2026","1,073.50","1,064.00","1,069.30","1,046.20","1,052.00","1,052.10","1,054.05","75,17,203","7,92,35,24,641.50","2,07,323","42,34,284","56.33"
"INFY","EQ","21-Jul-2026","1,087.10","1,080.00","1,094.50","1,067.20","1,070.60","1,073.50","1,074.70","94,85,229","10,19,38,02,082.30","1,87,625","54,21,121","57.15"
"INFY","EQ","20-Jul-2026","1,096.50","1,102.00","1,103.80","1,083.20","1,087.60","1,087.10","1,091.72","63,72,645","6,95,71,62,725.00","1,55,749","33,75,183","52.96"
"INFY","EQ","17-Jul-2026","1,082.40","1,105.00","1,116.80","1,092.00","1,094.20","1,096.50","1,102.00","1,25,47,728","13,82,75,61,159.30","1,70,273","61,30,365","48.86"
"INFY","EQ","16-Jul-2026","1,076.30","1,082.50","1,097.30","1,077.90","1,085.00","1,082.40","1,088.27","85,92,146","9,35,05,44,952.20","1,73,656","45,47,577","52.93"
"INFY","EQ","15-Jul-2026","1,092.90","1,079.00","1,088.10","1,073.00","1,077.40","1,076.30","1,079.35","85,01,933","9,17,65,60,288.40","1,75,275","37,60,766","44.23"
"INFY","EQ","14-Jul-2026","1,102.60","1,107.80","1,113.50","1,090.00","1,092.10","1,092.90","1,099.29","1,48,19,413","16,29,09,05,496.60","2,64,399","74,71,404","50.42"
"INFY","EQ","13-Jul-2026","1,068.00","1,057.10","1,114.90","1,057.10","1,102.60","1,102.60","1,095.60","2,09,94,760","23,00,19,58,436.30","3,38,475","1,09,37,818","52.10"
"INFY","EQ","10-Jul-2026","1,050.80","1,075.00","1,091.30","1,064.70","1,068.70","1,068.00","1,071.86","97,47,266","10,44,76,88,759.10","2,23,565","48,65,063","49.91"
"INFY","EQ","09-Jul-2026","1,069.30","1,062.70","1,062.70","1,040.40","1,055.30","1,050.80","1,052.44","90,03,333","9,47,54,52,928.90","1,74,766","33,45,409","37.16"
"INFY","EQ","08-Jul-2026","1,071.80","1,071.90","1,079.70","1,064.40","1,069.00","1,069.30","1,070.65","1,30,22,221","13,94,21,82,222.50","2,13,848","80,51,297","61.83"
"INFY","EQ","07-Jul-2026","1,042.20","1,040.60","1,087.50","1,040.60","1,071.90","1,071.80","1,074.93","1,88,66,296","20,27,99,30,819.60","3,32,585","92,28,289","48.91"
"INFY","EQ","06-Jul-2026","1,047.20","1,050.10","1,053.00","1,033.00","1,043.80","1,042.20","1,039.08","55,59,747","5,77,70,24,579.70","1,20,352","29,25,455","52.62"
"INFY","EQ","03-Jul-2026","1,040.90","1,063.00","1,068.70","1,042.00","1,047.10","1,047.20","1,051.35","1,16,53,534","12,25,19,84,529.00","3,06,437","56,80,079","48.74"
"INFY","EQ","02-Jul-2026","985.30","1,006.40","1,045.00","1,006.00","1,042.60","1,040.90","1,034.09","1,87,41,111","19,37,99,13,697.50","3,18,388","79,99,570","42.68"
"INFY","EQ","01-Jul-2026","1,000.40","1,006.00","1,014.00","982.40","986.00","985.30","993.98","1,30,37,982","12,95,94,56,154.70","3,01,193","69,41,533","53.24"
"INFY","EQ","30-Jun-2026","1,036.70","1,030.00","1,030.40","996.00","1,006.00","1,000.40","1,007.28","2,41,28,263","24,30,39,60,220.50","4,40,240","1,30,58,140","54.12"
"INFY","BL","29-Jun-2026","1,029.30","1,034.00","1,034.00","1,034.00","1,034.00","1,034.00","1,034.00","5,14,800","53,23,03,200.00","1","-","-"
"INFY","EQ","29-Jun-2026","1,041.20","1,037.10","1,046.60","1,029.10","1,034.00","1,036.70","1,035.17","1,50,80,892","15,61,12,16,315.10","2,48,692","89,09,976","59.08"
"INFY","EQ","25-Jun-2026","1,056.60","1,065.00","1,068.00","1,039.10","1,042.90","1,041.20","1,048.00","1,58,66,779","16,62,84,60,525.50","2,75,365","91,12,752","57.43"
"INFY","EQ","24-Jun-2026","1,029.30","1,040.90","1,065.50","1,037.70","1,056.00","1,056.60","1,050.65","1,23,46,266","12,97,16,00,161.40","2,16,180","55,58,437","45.02"
"INFY","BL","24-Jun-2026","1,505.00","1,029.30","1,029.30","1,029.30","1,029.30","1,029.30","1,029.30","6,13,120","63,10,84,416.00","1","-","-"
"INFY","EQ","23-Jun-2026","1,065.40","1,053.80","1,055.30","1,026.00","1,029.00","1,029.30","1,034.72","1,93,23,064","19,99,40,16,676.90","4,04,611","97,57,180","50.49"
"INFY","EQ","22-Jun-2026","1,051.40","1,055.00","1,080.30","1,055.00","1,065.00","1,065.40","1,067.86","1,01,78,505","10,86,91,91,699.80","1,90,156","42,36,224","41.62"
"INFY","EQ","19-Jun-2026","1,127.50","1,062.30","1,066.00","1,030.00","1,054.20","1,051.40","1,043.82","4,56,65,442","47,66,66,65,585.60","7,65,616","2,25,06,869","49.29"
"INFY","EQ","18-Jun-2026","1,157.70","1,142.90","1,142.90","1,125.30","1,127.40","1,127.50","1,130.34","1,67,81,447","18,96,87,61,942.20","2,13,308","96,21,856","57.34"
"INFY","EQ","17-Jun-2026","1,143.60","1,149.00","1,162.50","1,148.00","1,156.00","1,157.70","1,157.38","59,95,119","6,93,86,01,945.20","1,25,573","28,18,504","47.01"
"INFY","EQ","16-Jun-2026","1,134.90","1,136.90","1,153.80","1,123.20","1,145.00","1,143.60","1,140.85","1,04,56,090","11,92,88,04,188.90","1,62,431","50,98,711","48.76"
"INFY","EQ","15-Jun-2026","1,116.40","1,130.00","1,151.00","1,123.00","1,135.60","1,134.90","1,135.97","78,56,192","8,92,43,77,450.20","1,29,357","39,64,378","50.46"
"INFY","EQ","12-Jun-2026","1,114.60","1,120.00","1,123.30","1,111.50","1,118.50","1,116.40","1,116.40","80,75,333","9,01,53,14,182.30","1,51,562","49,56,397","61.38"
"INFY","EQ","11-Jun-2026","1,145.30","1,129.70","1,133.70","1,109.00","1,119.50","1,114.60","1,116.74","93,72,176","10,46,62,92,643.10","2,45,811","41,16,938","43.93"
"INFY","EQ","10-Jun-2026","1,180.30","1,160.10","1,171.40","1,143.30","1,144.00","1,145.30","1,154.24","88,87,626","10,25,84,50,697.60","1,74,623","42,58,395","47.91"
"INFY","EQ","09-Jun-2026","1,187.60","1,193.60","1,193.60","1,167.30","1,181.70","1,180.30","1,176.06","1,09,84,054","12,91,79,03,889.00","1,90,190","53,96,204","49.13"
"INFY","EQ","08-Jun-2026","1,197.50","1,177.50","1,200.70","1,176.50","1,187.00","1,187.60","1,189.58","86,31,711","10,26,81,42,160.10","1,64,182","47,35,993","54.87"
"INFY","EQ","05-Jun-2026","1,201.30","1,220.00","1,223.80","1,194.30","1,199.00","1,197.50","1,201.93","86,92,290","10,44,75,14,955.60","1,38,390","49,02,149","56.40"
"INFY","EQ","04-Jun-2026","1,222.60","1,208.00","1,215.20","1,196.20","1,204.40","1,201.30","1,203.46","1,27,55,957","15,35,12,98,787.80","2,06,266","59,34,118","46.52"
"INFY","EQ","03-Jun-2026","1,270.80","1,242.10","1,249.90","1,216.00","1,220.50","1,222.60","1,225.95","1,85,34,303","22,72,21,20,449.40","3,53,815","1,06,26,302","57.33"
"INFY","EQ","02-Jun-2026","1,202.50","1,232.50","1,278.90","1,232.50","1,270.00","1,270.80","1,263.28","3,60,32,600","45,51,91,12,148.80","4,97,139","2,09,83,487","58.23"
"INFY","EQ","01-Jun-2026","1,160.90","1,175.00","1,217.00","1,173.70","1,203.50","1,202.50","1,205.22","1,94,39,331","23,42,86,14,350.30","2,61,853","82,38,710","42.38"
"INFY","EQ","29-May-2026","1,159.90","1,182.00","1,210.00","1,153.60","1,156.40","1,160.90","1,169.50","6,90,85,430","80,79,53,33,060.80","3,92,999","4,79,11,031","69.35"
"INFY","EQ","27-May-2026","1,167.70","1,161.00","1,167.30","1,155.00","1,162.00","1,159.90","1,160.50","63,71,871","7,39,45,29,529.50","1,35,727","25,85,058","40.57"
"INFY","EQ","26-May-2026","1,168.50","1,166.30","1,180.70","1,162.90","1,166.00","1,167.70","1,172.18","80,05,767","9,38,41,92,190.60","1,51,193","43,23,399","54.00"
"INFY","EQ","25-May-2026","1,174.50","1,183.00","1,185.00","1,166.10","1,168.00","1,168.50","1,173.45","58,56,136","6,87,18,86,851.00","1,02,287","32,85,372","56.10"
"INFY","EQ","22-May-2026","1,181.20","1,182.50","1,191.80","1,172.50","1,175.00","1,174.50","1,179.30","88,03,066","10,38,14,17,170.70","1,52,471","58,07,661","65.97"
"INFY","EQ","21-May-2026","1,193.70","1,196.10","1,201.80","1,177.00","1,178.20","1,181.20","1,185.68","1,00,21,033","11,88,17,71,275.10","1,92,009","52,05,193","51.94"
"INFY","EQ","20-May-2026","1,196.90","1,187.00","1,206.90","1,184.90","1,190.00","1,193.70","1,195.38","1,51,21,010","18,07,53,35,888.50","1,80,970","1,05,10,891","69.51"
"INFY","EQ","19-May-2026","1,142.50","1,162.00","1,198.40","1,162.00","1,194.00","1,196.90","1,190.55","3,21,75,705","38,30,68,60,777.50","3,77,426","2,21,02,537","68.69"
"INFY","EQ","18-May-2026","1,119.00","1,119.00","1,146.10","1,118.00","1,145.60","1,142.50","1,134.98","1,20,96,377","13,72,91,12,433.30","3,22,692","60,58,529","50.09"
