"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LT","EQ","11-Sep-2026","3,955.00","3,926.00","3,948.00","3,880.70","3,930.70","3,930.70","3,914.82","11,95,489","4,68,01,19,226.60","1,01,926","5,25,168","50.54"
"LT","EQ","10-Sep-2026","3,922.60","3,949.40","3,965.50","3,910.00","3,955.00","3,955.00","3,928.85","13,76,951","5,40,98,31,188.60","71,022","6,84,483","49.71"
"LT","EQ","09-Sep-2026","3,946.10","3,935.30","4,020.20","3,922.60","3,922.60","3,922.60","3,977.82","29,54,721","11,75,33,43,126.70","1,32,430","20,78,693","70.35"
"LT","EQ","08-Sep-2026","3,999.00","3,988.70","3,988.70","3,946.10","3,946.10","3,946.10","3,968.79","12,00,872","4,76,60,03,578.30","66,908","6,79,138","56.55"
"LT","EQ","07-Sep-2026","3,964.10","3,962.00","4,004.90","3,960.90","3,999.00","3,999.00","3,980.75","12,56,683","5,00,25,43,634.60","62,154","7,62,595","60.68"
"LT","EQ","04-Sep-2026","3,975.00","3,981.00","3,994.90","3,964.10","3,964.10","3,964.10","3,982.41","13,19,056","5,25,30,26,930.50","98,662","8,27,413","62.73"
"LT","EQ","03-Sep-2026","3,981.00","3,999.80","4,027.70","3,975.00","3,975.00","3,975.00","3,998.69","9,40,768","3,76,18,39,968.00","55,179","4,86,578","51.72"
"LT","EQ","02-Sep-2026","3,980.10","3,966.00","4,002.30","3,956.70","3,981.00","3,981.00","3,982.27","13,07,081","5,20,51,48,125.60","96,121","8,23,690","63.02"
"LT","EQ","01-Sep-2026","4,044.90","4,038.00","4,038.00","3,980.10","3,980.10","3,980.10","4,012.65","9,44,703","3,79,07,59,519.30","56,508","5,18,405","54.87"
"LT","EQ","31-Aug-2026","4,045.80","4,035.10","4,044.90","3,976.00","4,044.90","4,044.90","4,013.91","15,53,171","6,23,42,81,503.50","77,234","10,63,417","68.47"
"LT","EQ","28-Aug-2026","4,027.00","4,045.00","4,060.00","4,021.30","4,045.80","4,045.80","4,037.13","8,93,956","3,60,90,13,321.20","52,314","4,38,037","49.00"
"LT","EQ","27-Aug-2026","4,038.10","4,058.00","4,067.30","4,023.00","4,027.00","4,027.00","4,042.90","11,61,440","4,69,55,87,957.40","73,332","5,87,698","50.60"
"LT","EQ","26-Aug-2026","4,119.00","4,114.00","4,124.90","4,038.10","4,038.10","4,038.10","4,074.14","13,84,669","5,64,13,36,564.80","75,498","6,90,215","49.85"
"LT","EQ","25-Aug-2026","4,090.00","4,085.00","4,125.30","4,066.60","4,119.00","4,119.00","4,094.46","13,16,074","5,38,86,12,321.60","76,173","7,93,624","60.30"
"LT","EQ","24-Aug-2026","4,093.00","4,100.00","4,107.10","4,077.70","4,090.00","4,090.00","4,089.89","13,69,496","5,60,10,91,714.70","80,383","8,94,318","65.30"
"LT","EQ","21-Aug-2026","4,081.00","4,081.00","4,100.00","4,061.40","4,093.00","4,093.00","4,082.24","12,58,912","5,13,91,85,468.10","79,449","8,34,853","66.32"
"LT","EQ","20-Aug-2026","4,041.30","4,050.50","4,084.90","4,048.30","4,081.00","4,081.00","4,068.46","10,56,060","4,29,65,41,317.20","66,205","6,08,156","57.59"
"LT","EQ","19-Aug-2026","4,064.30","4,064.00","4,069.00","4,024.80","4,041.30","4,041.30","4,037.96","11,90,832","4,80,85,33,721.50","71,433","6,76,290","56.79"
"LT","EQ","18-Aug-2026","4,086.70","4,068.00","4,085.00","4,050.00","4,064.30","4,064.30","4,070.84","13,55,575","5,51,83,24,232.20","68,981","8,17,973","60.34"
"LT","EQ","17-Aug-2026","4,057.00","4,041.00","4,086.70","4,026.00","4,086.70","4,086.70","4,056.64","10,66,164","4,32,50,40,111.60","49,368","5,52,749","51.84"
"LT","EQ","14-Aug-2026","4,070.70","4,068.70","4,072.50","4,033.10","4,057.00","4,057.00","4,053.20","9,34,044","3,78,58,71,184.20","56,246","5,94,838","63.68"
"LT","EQ","13-Aug-2026","4,020.00","4,010.00","4,070.70","3,990.00","4,070.70","4,070.70","4,035.12","22,99,928","9,28,04,80,632.20","1,57,231","12,91,924","56.17"
"LT","EQ","12-Aug-2026","4,037.40","4,038.00","4,044.10","3,990.00","4,020.00","4,020.00","4,003.05","22,26,623","8,91,32,93,171.50","1,09,760","15,31,311","68.77"
"LT","EQ","11-Aug-2026","4,080.00","4,075.10","4,075.50","4,028.50","4,037.40","4,037.40","4,045.36","14,01,285","5,66,87,07,198.70","66,909","6,19,989","44.24"
"LT","EQ","10-Aug-2026","4,056.00","4,055.70","4,080.00","4,025.80","4,080.00","4,080.00","4,060.58","10,82,855","4,39,70,15,623.00","73,565","6,28,745","58.06"
